Sample ID,Pop,Subsp.,collection date,Collection Month,Collection Year,Genotyped?,sequenced?,published?,Sex,Original owner
EINP_W01,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W02,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W03,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W04,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W05,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W06,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W07,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W08,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W09,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W10,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W11,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W12,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W13,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W14,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W15,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W16,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W17,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W18,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W19,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W20,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W21,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W22,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
