ID,Population,Region,bm2830,bm2830,bm143,bm143,rt9,rt9,rt24,rt24,rt27,rt27,rt29,rt29,bmc1222,bmc1222,bm1225,bm1225,eth121,eth121,bovfsh,bovfsh
SW 1,WBNPSR,Sweetgrass,147,153,101,103,113,113,229,229,150,150,212,224,275,277,246,252,186,200,303,321
SW 2,WBNPSR,Sweetgrass,153,163,101,101,113,113,205,229,146,150,218,220,277,277,,268,186,186,309,309
SW 3,WBNPSR,Sweetgrass,153,153,101,105,113,113,205,205,146,150,206,214,275,275,240,252,186,188,309,311
SW 5,WBNPSR,Sweetgrass,153,153,99,99,113,113,205,227,146,150,206,206,277,277,252,268,186,186,311,317
SW 6,WBNPSR,Sweetgrass,153,159,99,109,113,113,205,205,150,150,206,206,275,275,252,268,186,200,308,311
SW 7,WBNPSR,Sweetgrass,153,159,101,105,113,113,205,229,146,150,206,214,267,277,246,252,186,186,298,311
SW 8,WBNPSR,Sweetgrass,153,159,101,101,113,117,205,205,150,150,218,220,275,275,252,268,186,200,303,308
SW 9,WBNPSR,Sweetgrass,147,157,101,101,113,113,205,205,150,150,206,222,273,277,252,252,186,200,311,311
SW 10,WBNPSR,Sweetgrass,157,163,101,103,113,113,205,205,150,150,212,220,277,277,252,272,188,200,308,311
SW 12,WBNPSR,Sweetgrass,153,159,105,115,113,117,205,205,146,150,220,222,275,275,252,252,186,186,308,309
SW 13,WBNPSR,Sweetgrass,153,159,99,105,113,113,205,205,150,152,206,212,267,277,246,252,186,198,303,321
SW 14,WBNPSR,Sweetgrass,147,159,99,101,113,113,205,205,150,150,216,218,275,275,240,252,186,200,309,311
SW 15,WBNPSR,Sweetgrass,151,159,105,105,113,113,205,205,150,150,206,206,275,277,240,252,186,200,311,311
SW 16,WBNPSR,Sweetgrass,153,167,101,105,113,113,205,205,150,150,212,218,275,275,240,240,186,188,309,321
SW 18,WBNPSR,Sweetgrass,147,151,99,109,113,113,205,231,150,150,212,222,275,275,240,252,200,200,303,313
SW 19,WBNPSR,Sweetgrass,147,153,101,109,113,117,205,229,150,150,206,214,275,275,246,270,194,200,309,311
SW 20,WBNPSR,Sweetgrass,147,159,101,115,113,113,205,205,150,150,212,212,275,277,252,268,186,200,302,311
PL 30,WBNPPL,Pine Lake,147,147,101,101,113,113,205,205,150,150,212,222,273,277,268,270,186,200,309,309
PL 31,WBNPPL,Pine Lake,153,163,101,101,113,117,205,205,150,150,220,220,275,275,252,252,186,200,299,309
PL 32,WBNPPL,Pine Lake,147,147,101,115,113,115,229,231,150,150,206,220,275,277,240,252,186,200,302,303
LB 33,WBNPLB,Little Buffalo,147,167,101,101,113,115,205,229,150,150,212,212,277,277,240,252,188,200,312,321
LB 34,WBNPLB,Little Buffalo,153,153,101,101,113,113,229,231,150,150,212,222,267,275,268,268,186,200,309,313
LB 35,WBNPLB,Little Buffalo,147,147,101,101,113,113,205,205,150,150,206,222,273,275,252,252,188,200,299,309
LB 37,WBNPLB,Little Buffalo,153,153,101,105,113,113,205,225,146,150,214,220,267,277,240,240,188,200,298,303
LB 40,WBNPLB,Little Buffalo,147,163,99,101,113,113,229,229,146,150,222,224,277,277,246,252,186,194,309,309
SW 93,WBNPSR,Sweetgrass,147,153,105,109,113,113,205,231,150,150,220,220,273,275,240,252,186,198,317,321
SW 95,WBNPSR,Sweetgrass,153,167,101,101,113,117,205,205,150,150,220,222,275,275,252,252,200,200,296,309
LB 98,WBNPLB,Little Buffalo,147,153,99,101,113,113,205,205,150,150,220,220,275,277,252,252,186,186,303,321
LB 101,WBNPLB,Little Buffalo,147,159,99,101,113,113,205,205,150,150,206,218,275,277,264,268,188,198,309,311
PL 104,WBNPPL,Pine Lake,153,153,101,101,113,113,205,205,146,150,212,218,275,275,240,252,186,200,309,311
PL 106,WBNPPL,Pine Lake,149,159,99,99,113,117,205,205,150,150,206,220,273,277,268,268,186,194,321,321
PL 107,WBNPPL,Pine Lake,147,153,105,105,115,117,205,229,150,150,220,220,275,275,240,252,186,186,311,321
NL 111,WBNPNL,Needle Lake,147,159,101,101,113,113,205,229,150,150,220,220,275,277,252,252,186,198,308,309
GR108,WBNPGR,Garden River,153,153,99,115,113,113,205,205,146,152,206,206,277,277,240,246,186,186,309,313
NL91,WBNPNL,Needle Lake,153,159,101,105,113,113,205,229,150,150,222,222,273,275,252,252,186,200,309,309
NL102,WBNPNL,Needle Lake,143,153,101,105,113,113,205,205,150,150,222,222,267,273,252,252,186,200,303,309
PL105,WBNPPL,Pine Lake,153,153,99,99,113,113,205,205,150,150,206,216,275,277,252,268,186,198,299,309
GC 21,WBNPGR,Garden River,153,159,101,105,113,113,205,229,150,150,212,220,275,275,252,272,186,200,302,313
GC 23,WBNPGR,Garden River,147,153,99,101,113,113,205,205,146,150,212,222,275,277,252,268,186,186,296,321
GC 24,WBNPGR,Garden River,147,153,101,101,113,115,225,229,150,150,206,220,275,275,240,252,200,200,309,313
GC 25,WBNPGR,Garden River,147,147,101,101,113,117,205,205,150,150,222,224,275,277,252,268,200,200,311,322
GC 26,WBNPGR,Garden River,153,153,99,115,113,113,205,229,150,150,212,212,275,277,240,246,186,198,309,313
GC 27,WBNPGR,Garden River,153,153,101,101,113,113,205,205,150,150,214,220,273,275,252,268,200,200,298,309
GC 28,WBNPGR,Garden River,147,153,105,109,113,113,205,231,146,150,212,222,273,277,268,270,194,200,302,302
PL 29,WBNPPL,Pine Lake,153,159,99,101,113,117,205,229,150,150,212,222,275,277,240,240,186,200,309,309
PL 42,WBNPPL,Pine Lake,153,165,99,101,113,113,205,205,150,150,214,220,277,277,240,252,186,200,302,310
PL 43,WBNPPL,Pine Lake,147,153,99,115,113,113,205,205,146,150,206,222,273,275,240,248,186,186,309,311
PL 44,WBNPPL,Pine Lake,153,167,101,105,113,113,205,229,150,150,212,220,273,277,240,252,200,200,309,309
PL 45,WBNPPL,Pine Lake,147,149,101,111,113,117,205,205,150,150,206,220,275,275,252,268,186,186,303,321
PL 46,WBNPPL,Pine Lake,163,163,101,105,113,117,205,229,150,150,206,212,275,275,246,252,200,200,299,303
PL 47,WBNPPL,Pine Lake,147,151,99,101,113,113,205,213,150,150,212,220,273,275,240,252,186,186,308,317
PL 48,WBNPPL,Pine Lake,153,153,101,105,113,113,205,213,146,150,220,220,275,275,246,252,186,200,317,317
PL 49,WBNPPL,Pine Lake,153,153,101,103,113,113,205,205,150,150,206,218,275,277,270,270,198,200,309,309
PL 52,WBNPPL,Pine Lake,149,159,99,115,113,117,205,205,150,150,206,220,273,277,268,268,186,194,321,321
PL 53,WBNPPL,Pine Lake,147,153,99,103,113,115,205,205,150,150,206,206,275,275,246,252,186,188,302,309
PL 54,WBNPPL,Pine Lake,147,153,101,101,113,113,229,231,146,150,206,212,275,277,246,252,186,186,309,317
PL 55,WBNPPL,Pine Lake,153,167,101,105,113,117,205,229,150,150,206,206,277,277,252,268,186,200,309,309
PL 56,WBNPPL,Pine Lake,153,165,103,111,113,113,229,229,150,150,212,220,275,275,246,268,198,200,309,309
PL 57,WBNPPL,Pine Lake,153,153,105,111,113,113,205,229,146,150,206,222,275,275,252,268,186,198,298,309
LB 36,WBNPLB,Little Buffalo,153,159,101,105,113,117,205,229,150,150,206,212,275,277,246,252,200,200,303,303
LB 38,WBNPLB,Little Buffalo,153,167,99,101,113,113,205,229,146,150,220,220,275,275,240,252,186,186,299,309
LB 39,WBNPLB,Little Buffalo,153,153,101,103,113,113,205,205,150,150,206,218,275,275,240,252,186,200,296,302
LB 41,WBNPLB,Little Buffalo,153,165,105,105,113,113,205,205,150,150,212,212,267,273,252,252,200,200,303,308
NL89,Wood Buffalo NP,Needle Lake,153,159,101,105,113,113,205,225,146,146,206,206,273,275,240,252,200,200,296,311
SW96,WBNPSG,Sweetgrass,147,167,101,101,113,115,205,205,148,150,212,224,275,277,268,270,186,200,309,311
NL103,WBNPNL,Needle Lake,153,153,101,101,113,113,229,231,146,150,206,214,275,277,252,252,186,186,303,308
NL109,WBNPNL,Needle Lake,153,153,101,101,113,113,205,205,146,150,220,222,277,277,252,268,186,200,303,303
PL50?,WBNPPL,Pine Lake,153,153,105,105,113,117,205,229,148,150,218,220,277,277,240,268,186,186,309,310
PL51?,WBNPPL,Pine Lake,153,165,103,111,113,113,229,229,150,150,212,220,275,275,246,268,198,200,309,311
SW92,WBNPSG,Sweetgrass,153,153,101,103,113,113,205,205,150,150,206,206,267,273,244,268,200,200,302,321
NP60,WBNPNL,Needle Lake,153,153,101,101,113,113,205,229,150,150,220,220,275,275,252,268,200,200,303,309
NP61,WBNPNL,Needle Lake,153,153,101,105,113,113,205,225,150,150,220,222,273,275,252,268,186,200,303,309
Lake 1 66,WBNPNL,Needle Lake,147,153,101,101,113,113,205,229,146,150,212,220,277,277,252,268,186,186,309,321
NL81,WBNPNL,Needle Lake,147,167,99,99,113,115,205,229,146,150,206,222,273,275,240,268,186,186,309,309
SW97,WBNPSG,Sweetgrass,149,153,99,101,113,113,205,205,146,150,212,214,275,275,240,268,186,194,311,322
LB99,WBNPLB,Little Buffalo,153,153,101,101,113,113,205,205,146,150,212,222,273,273,252,268,186,200,303,303
NL110,WBNPNL,Needle Lake,153,153,99,101,113,113,205,229,146,150,206,212,275,277,252,268,186,200,309,309
NL67,WBNPNL,Needle Lake,147,153,101,101,113,113,205,229,146,150,206,214,275,275,240,252,186,200,316,316
NL90,WBNPNL,Needle Lake,143,159,101,101,113,113,205,229,146,150,206,222,275,275,252,268,186,200,302,309
