loci	Harmonic_N	H_st_est	D_st_est	G_st_est	G_hed_st_est	D_Jost_est	Fst_WC	Fit_WC	
BMS1117	16.9923	0.0131	0.0055	0.0094	0.0245	0.0153	0.0204	-0.0921	
TGLA53	16.9923	0.0616	0.0199	0.0286	0.0984	0.0719	0.0369	0.1029	
BMC4214	16.9923	0.0501	0.0127	0.0167	0.0742	0.0584	0.0276	0.0018	
BM1225	16.9923	0.1409	0.0439	0.0599	0.2145	0.1644	0.1041	0.0712	
BM47	16.9923	0.0067	0.0057	0.0378	0.0453	0.0078	0.0599	0.0968	
BMS1315	16.9923	0.2371	0.0934	0.1335	0.3732	0.2766	0.18	0.2154	
IL4	16.9112	0.1173	0.0278	0.0352	0.1672	0.1368	0.0452	0.0971	
BM2113	16.9923	0.0315	0.0143	0.0255	0.0614	0.0368	0.0547	-0.0341	
BMS1716	16.9923	0.0719	0.0276	0.0429	0.1231	0.0839	0.0756	0.0704	
BM1706	16.9923	0.0533	0.0231	0.0392	0.0989	0.0622	0.0484	0.1283	
BMS1675	16.9923	0.0383	0.0215	0.0467	0.0893	0.0447	0.0704	0.1265	
BMS1857	16.9923	0.1182	0.0266	0.0332	0.1665	0.1379	0.0639	0.1153	
BMS1001	16.9923	0.0401	0.0164	0.027	0.0726	0.0468	0.0191	0.0512	
BMS601	16.9923	0.1296	0.0465	0.0676	0.2086	0.1512	0.0953	0.1835	
BM720	16.9923	0.0895	0.0295	0.0421	0.1422	0.1045	0.0482	0.0982	
ILSTS102	16.6254	0.0039	0.0034	0.027	0.0314	0.0045	0.047	-0.0472	
BMS1074	16.9923	0.0612	0.024	0.038	0.1067	0.0714	0.0561	0.0997	
BMS1172	16.9923	0.0418	0.0204	0.0383	0.0852	0.0488	0.0709	-0.0259	
BMS2258	16.9923	0.1828	0.0439	0.0546	0.2563	0.2133	0.0864	0.1199	
BM757	16.9923	0.0497	0.019	0.0299	0.0861	0.058	0.054	0.1075	
SPS115	16.9923	0.1285	0.0631	0.1103	0.2437	0.1499	0.1748	0.1947	
BMS527	16.9923	0.0536	0.0127	0.0164	0.0778	0.0625	0.0267	0.0878	
BM2830	16.9923	0.1351	0.0411	0.0558	0.2046	0.1576	0.0934	0.1062	
INRA194	16.6254	0.0675	0.0243	0.0366	0.1124	0.0787	0.0546	0.2061	
BMS941	16.546	0.0049	0.0019	0.0031	0.0088	0.0057	0.0159	0.056	
INRA037	16.6254	0.0987	0.0434	0.0719	0.1788	0.1152	0.1287	0.1212	
BM4107	16.9923	0.075	0.0193	0.0253	0.1107	0.0875	0.0396	0.0578	
TGLA122	16.9923	0.0458	0.0181	0.029	0.081	0.0535	0.0367	-0.0011	
HUJ246	16.9923	0.0724	0.0335	0.0587	0.1382	0.0845	0.0759	0.0421	
BMS528	16.9923	0.0987	0.0391	0.0608	0.169	0.1152	0.0987	0.0897	
BM4440	16.9923	0.1182	0.0461	0.0703	0.1985	0.1379	0.0901	0.0344	
TGLA44	16.9923	0.0125	0.005	0.0083	0.0227	0.0146	0.0092	0.0879	
BMS510	16.9923	0.0761	0.0273	0.0408	0.126	0.0888	0.0617	0.0465	
BMS1355	16.9923	0.0734	0.0334	0.0577	0.1385	0.0857	0.1163	0.1672	
BM1824	16.9923	0.0746	0.0204	0.0273	0.112	0.087	0.0471	0.0729	
BMS812	16.9923	0.1761	0.052	0.0687	0.26	0.2054	0.12	0.1394	
BMS2639	16.9923	0.1597	0.0365	0.0452	0.2231	0.1864	0.0719	0.0638	
BMS410	16.9923	0.0331	0.0136	0.0226	0.0603	0.0386	0.0461	0.1471	
AGLA232	16.9923	0.0018	5e-04	7e-04	0.0028	0.0021	0.0047	0.0267	
BM17132	16.9923	0.0826	0.0262	0.0369	0.1298	0.0964	0.069	0.068	
BM711	16.9923	0.066	0.0457	0.1293	0.1964	0.077	0.1842	0.1274	
INRA133	16.9923	0.0983	0.0343	0.05	0.159	0.1147	0.0774	0.1604	
RM372	16.6254	0.0474	0.0167	0.0251	0.0791	0.0553	0.0492	-0.0241	
BM4311	16.9923	0.2014	0.0624	0.0829	0.2984	0.235	0.1147	0.1651	
BMS1747	16.9923	0.0653	0.0194	0.0269	0.101	0.0762	0.0391	0.0792	
BL1036	16.9923	0.0898	0.0415	0.0716	0.1689	0.1048	0.1134	0.1227	
BM1862	16.9923	0.0116	0.0037	0.0054	0.0188	0.0135	0.0117	0.0432	
BMS1862	16.9923	0.1919	0.043	0.0525	0.2646	0.2239	0.0515	0.078	
URB011	16.9923	0.1508	0.0481	0.066	0.2303	0.176	0.1139	0.1388	
Global				0.0442	0.1271	0.0658	0.0692	0.0887	
