	
locus	Mean	Lower_95%CI	Upper_95%CI	
Gst				
BMS1117	0.0564	0.0211	0.0955	
TGLA53	0.0758	0.0474	0.1165	
BMC4214	0.0608	0.0441	0.0838	
BM1225	0.1033	0.0735	0.139	
BM47	0.0774	0.0328	0.1494	
BMS1315	0.1806	0.1269	0.2373	
IL4	0.0828	0.0532	0.1085	
BM2113	0.0709	0.0468	0.1013	
BMS1716	0.0943	0.0536	0.1405	
BM1706	0.0885	0.0522	0.1397	
BMS1675	0.0946	0.0553	0.1505	
BMS1857	0.0806	0.0583	0.1106	
BMS1001	0.0733	0.0378	0.1265	
BMS601	0.1201	0.0716	0.1731	
BM720	0.0896	0.0549	0.1399	
ILSTS102	0.0685	0.0384	0.1066	
BMS1074	0.0857	0.0508	0.132	
BMS1172	0.0825	0.0479	0.1215	
BMS2258	0.105	0.0742	0.1431	
BM757	0.0803	0.0505	0.139	
SPS115	0.156	0.1226	0.1932	
BMS527	0.0644	0.0372	0.1007	
BM2830	0.103	0.0756	0.149	
INRA194	0.0909	0.0599	0.1314	
BMS941	0.0527	0.0314	0.0858	
INRA037	0.1163	0.0876	0.1517	
BM4107	0.0742	0.0507	0.1217	
TGLA122	0.078	0.0387	0.1246	
HUJ246	0.1076	0.0501	0.1757	
BMS528	0.1122	0.0778	0.1611	
BM4440	0.1172	0.0731	0.173	
TGLA44	0.0646	0.0301	0.1109	
BMS510	0.0874	0.0578	0.1275	
BMS1355	0.103	0.0683	0.1569	
BM1824	0.0754	0.0474	0.1125	
BMS812	0.1167	0.0861	0.1477	
BMS2639	0.0888	0.065	0.1138	
BMS410	0.0815	0.0399	0.1255	
AGLA232	0.0519	0.026	0.0886	
BM17132	0.0895	0.0596	0.12	
BM711	0.1748	0.1012	0.251	
INRA133	0.1046	0.068	0.1529	
RM372	0.0745	0.0448	0.1087	
BM4311	0.13	0.0968	0.1777	
BMS1747	0.0767	0.0479	0.1148	
BL1036	0.1185	0.0725	0.2015	
BM1862	0.0527	0.0293	0.082	
BMS1862	0.1004	0.0624	0.14	
URB011	0.1148	0.0777	0.1574	
Overall	0.0927	0.0842	0.1039	
G_hed_st				
BMS1117	0.1352	0.0523	0.2168	
TGLA53	0.2303	0.1564	0.3329	
BMC4214	0.2317	0.166	0.3087	
BM1225	0.3275	0.2442	0.4131	
BM47	0.0917	0.0379	0.1749	
BMS1315	0.4568	0.3534	0.5506	
IL4	0.3314	0.244	0.4026	
BM2113	0.1586	0.1043	0.2194	
BMS1716	0.2437	0.148	0.3349	
BM1706	0.207	0.1238	0.3173	
BMS1675	0.1718	0.103	0.2709	
BMS1857	0.3355	0.2504	0.4162	
BMS1001	0.1806	0.0965	0.2995	
BMS601	0.3278	0.2179	0.4455	
BM720	0.2667	0.1701	0.3899	
ILSTS102	0.079	0.0443	0.1212	
BMS1074	0.2197	0.1377	0.3148	
BMS1172	0.1717	0.1036	0.2354	
BMS2258	0.4059	0.3178	0.5128	
BM757	0.2075	0.137	0.3421	
SPS115	0.3217	0.2659	0.3813	
BMS527	0.255	0.1598	0.3725	
BM2830	0.33	0.2646	0.4161	
INRA194	0.2469	0.1718	0.3459	
BMS941	0.1355	0.0808	0.2104	
INRA037	0.2696	0.2087	0.3348	
BM4107	0.2732	0.1921	0.4009	
TGLA122	0.1971	0.1098	0.2998	
HUJ246	0.2331	0.1194	0.351	
BMS528	0.2838	0.2099	0.3788	
BM4440	0.3003	0.2027	0.4108	
TGLA44	0.1611	0.0767	0.2875	
BMS510	0.2435	0.1627	0.342	
BMS1355	0.2298	0.1598	0.3309	
BM1824	0.2656	0.1691	0.384	
BMS812	0.3828	0.2986	0.4525	
BMS2639	0.3713	0.2848	0.4486	
BMS410	0.1966	0.0995	0.2911	
AGLA232	0.1795	0.0963	0.2928	
BM17132	0.2737	0.184	0.3506	
BM711	0.2571	0.1604	0.3619	
INRA133	0.2917	0.2058	0.3936	
RM372	0.2101	0.1318	0.2987	
BM4311	0.4089	0.3315	0.4939	
BMS1747	0.2496	0.1592	0.3494	
BL1036	0.2604	0.1707	0.3998	
BM1862	0.1628	0.0935	0.2373	
BMS1862	0.4187	0.3122	0.5233	
URB011	0.3524	0.2616	0.4378	
global	0.2421	0.2228	0.2666	
D_Jost				
BMS1117	0.084	0.0319	0.1361	
TGLA53	0.1679	0.1149	0.242	
BMC4214	0.1823	0.127	0.2482	
