loci	H_st	D_st	G_st	G_hed_st	D_jost	
BMS1117	0.0462	0.0202	0.0346	0.0866	0.0539	
TGLA53	0.1078	0.037	0.0533	0.1723	0.1257	
BMC4214	0.1144	0.0315	0.0417	0.1697	0.1335	
BM1225	0.1849	0.0614	0.0841	0.2816	0.2157	
BM47	0.0109	0.0094	0.0623	0.0742	0.0127	
BMS1315	0.264	0.1087	0.1559	0.4159	0.308	
IL4	0.1818	0.0472	0.0599	0.2593	0.2121	
BM2113	0.0598	0.0281	0.0503	0.1165	0.0698	
BMS1716	0.1071	0.0431	0.0672	0.1838	0.125	
BM1706	0.0831	0.0374	0.0638	0.1545	0.097	
BMS1675	0.0567	0.0326	0.0712	0.1327	0.0662	
BMS1857	0.1863	0.0462	0.0578	0.2626	0.2173	
BMS1001	0.0735	0.0313	0.0517	0.133	0.0857	
BMS601	0.1659	0.0627	0.0915	0.2673	0.1935	
BM720	0.1328	0.0464	0.0665	0.2112	0.1549	
ILSTS102	0.0074	0.0065	0.0521	0.0603	0.0087	
BMS1074	0.0959	0.0393	0.0624	0.1673	0.1119	
BMS1172	0.0662	0.0333	0.0628	0.1352	0.0772	
BMS2258	0.2403	0.0631	0.0788	0.3371	0.2804	
BM757	0.0864	0.0346	0.0546	0.1499	0.1008	
SPS115	0.15	0.076	0.1333	0.285	0.1751	
BMS527	0.1227	0.0318	0.0412	0.1785	0.1432	
BM2830	0.1808	0.0587	0.08	0.2741	0.211	
INRA194	0.1074	0.0408	0.0616	0.1792	0.1253	
BMS941	0.0435	0.0177	0.0291	0.0783	0.0507	
INRA037	0.1269	0.0579	0.0963	0.2301	0.1481	
BM4107	0.1366	0.0381	0.0502	0.2016	0.1594	
TGLA122	0.0809	0.0334	0.0538	0.1431	0.0944	
HUJ246	0.0983	0.047	0.0827	0.1879	0.1146	
BMS528	0.1314	0.0544	0.0849	0.2252	0.1533	
BM4440	0.1508	0.0615	0.0941	0.2534	0.1759	
TGLA44	0.0481	0.0201	0.0335	0.0877	0.0561	
BMS510	0.1152	0.0435	0.0653	0.1909	0.1344	
BMS1355	0.1001	0.0471	0.0818	0.189	0.1168	
BM1824	0.1313	0.0387	0.0521	0.1972	0.1532	
BMS812	0.2205	0.0697	0.0925	0.326	0.2573	
BMS2639	0.2227	0.0559	0.0695	0.3112	0.2598	
BMS410	0.0662	0.0284	0.0473	0.1209	0.0773	
AGLA232	0.0631	0.0188	0.0261	0.0978	0.0736	
BM17132	0.1289	0.0434	0.0615	0.2026	0.1504	
BM711	0.0763	0.0535	0.152	0.2275	0.089	
INRA133	0.1379	0.0507	0.0743	0.2232	0.1608	
RM372	0.09	0.0335	0.0506	0.1503	0.105	
BM4311	0.2417	0.0798	0.1064	0.3584	0.282	
BMS1747	0.1167	0.0371	0.0516	0.1807	0.1362	
BL1036	0.1152	0.0551	0.0954	0.217	0.1344	
BM1862	0.0613	0.0208	0.0305	0.0998	0.0715	
BMS1862	0.2534	0.0626	0.0767	0.3497	0.2957	
URB011	0.1926	0.0653	0.0898	0.2943	0.2246	
Global			0.0686	0.1878	0.1281	
