PRIVATE ALLELIC RICHNESS (6 genes)

             	AVG OVER LOCI		BMS1117 	TGLA53  	BMC4214 	BM1225  	BM47    	BMS1315 	IL4     	BM2113  	BMS1716 	BM1706  	BMS1675 	BMS1857 	BMS1001 	BMS601  	BM720   	ILSTS102	BMS1074 	BMS1172 	BMS2258 	BM757   	SPS115  	BMS527  	BM2830  	INRA194 	BMS941  	INRA037 	BM4107  	TGLA122 	HUJ246  	BMS528  	BM4440  	TGLA44  	BMS510  	BMS1355 	BM1824  	BMS812  	BMS2639 	BMS410  	AGLA232 	BM17132 	BM711   	INRA133 	RM372   	BM4311  	BMS1747 	BL1036  	BM1862  	BMS1862 	URB011  
AISH_2055    	0.02         		0.0000  	0.0000  	0.0018  	0.0624  	0.0015  	0.0000  	0.0239  	0.0001  	0.0000  	0.0000  	0.0001  	0.0112  	0.0000  	0.0295  	0.0001  	0.0722  	0.0000  	0.0001  	0.0002  	0.0000  	0.0129  	0.0013  	0.1325  	0.0650  	0.0003  	0.0232  	0.0000  	0.0000  	0.0005  	0.0000  	0.0000  	0.0013  	0.0007  	0.0005  	0.0351  	0.0000  	0.0063  	0.0120  	0.2400  	0.0002  	0.0000  	0.0873  	0.0001  	0.0000  	0.0000  	0.0005  	0.0002  	0.0271  	0.0932  
CL_34        	0.02         		0.0021  	0.0000  	0.0000  	0.0000  	0.0000  	0.0005  	0.0024  	0.0001  	0.0000  	0.0000  	0.0000  	0.0001  	0.0000  	0.0000  	0.0001  	0.0001  	0.0000  	0.0000  	0.0243  	0.0000  	0.1070  	0.0009  	0.0281  	0.0186  	0.0000  	0.0634  	0.0000  	0.0000  	0.0000  	0.0000  	0.0000  	0.0000  	0.0000  	0.0016  	0.1047  	0.0001  	0.0001  	0.0010  	0.1415  	0.1500  	0.0000  	0.0000  	0.0001  	0.1500  	0.0000  	0.0000  	0.0000  	0.0000  	0.0000  
EINPP_2470   	0.10         		0.0002  	0.0123  	0.0237  	0.3774  	0.1714  	0.2017  	1.0244  	0.0508  	0.0000  	0.1269  	0.6067  	0.0936  	0.0000  	0.0393  	0.0001  	0.0145  	0.0001  	0.0085  	0.0010  	0.3143  	0.0821  	0.0299  	0.3404  	0.1709  	0.0003  	0.0092  	0.3715  	0.0004  	0.0036  	0.0000  	0.0611  	0.0017  	0.0862  	0.0324  	0.0010  	0.0000  	0.0278  	0.0433  	0.0000  	0.0000  	0.0331  	0.0049  	0.0013  	0.0002  	0.0151  	0.0678  	0.0724  	0.3402  	0.1928  
EINPW_2498   	0.02         		0.0008  	0.0000  	0.0068  	0.0087  	0.0000  	0.0000  	0.0433  	0.0001  	0.0000  	0.0001  	0.0032  	0.0203  	0.0000  	0.0075  	0.0001  	0.0851  	0.0000  	0.0000  	0.0160  	0.0000  	0.0002  	0.0000  	0.1596  	0.0000  	0.0018  	0.0122  	0.0000  	0.0001  	0.0021  	0.4624  	0.0000  	0.1579  	0.0017  	0.0050  	0.0672  	0.0000  	0.0233  	0.0148  	0.0000  	0.0000  	0.0043  	0.0077  	0.0000  	0.0002  	0.0000  	0.0013  	0.0002  	0.0000  	0.0000  
ETH_87       	0.01         		0.0019  	0.0000  	0.0000  	0.0351  	0.0000  	0.0004  	0.0001  	0.0001  	0.0000  	0.0000  	0.0015  	0.0007  	0.0000  	0.0000  	0.0003  	0.0000  	0.0000  	0.0001  	0.0041  	0.0000  	0.0000  	0.0000  	0.1688  	0.1267  	0.0002  	0.0238  	0.0000  	0.0000  	0.0000  	0.0003  	0.0000  	0.0000  	0.0017  	0.0006  	0.0590  	0.0000  	0.0004  	0.0006  	0.0388  	0.0001  	0.0000  	0.0212  	0.0000  	0.0000  	0.0000  	0.0048  	0.0002  	0.0044  	0.0112  
HZ_136       	0.01         		0.0016  	0.0000  	0.0493  	0.0733  	0.0050  	0.0000  	0.0600  	0.0001  	0.1500  	0.0000  	0.0039  	0.0001  	0.0000  	0.0089  	0.0005  	0.0001  	0.0000  	0.0000  	0.0146  	0.0000  	0.0588  	0.0000  	0.0282  	0.1097  	0.0000  	0.0255  	0.0000  	0.0000  	0.0000  	0.0000  	0.0000  	0.0001  	0.0016  	0.0080  	0.0000  	0.0000  	0.0000  	0.0010  	0.0000  	0.0003  	0.0000  	0.1006  	0.0000  	0.0001  	0.0000  	0.0023  	0.0005  	0.0000  	0.0000  
NAH_165      	0.02         		0.0007  	0.0000  	0.0000  	0.0000  	0.0475  	0.2059  	0.0035  	0.0000  	0.0000  	0.0002  	0.0000  	0.0003  	0.0000  	0.0145  	0.0001  	0.2826  	0.0000  	0.0003  	0.0002  	0.0001  	0.0002  	0.0024  	0.0001  	0.0000  	0.0010  	0.0392  	0.1528  	0.0001  	0.0000  	0.0628  	0.0269  	0.0000  	0.0000  	0.0000  	0.0967  	0.0003  	0.1693  	0.0035  	0.0000  	0.0002  	0.0000  	0.0000  	0.0000  	0.0000  	0.0000  	0.0010  	0.0008  	0.0000  	0.0786  
NORD_718     	0.01         		0.0000  	0.0000  	0.0000  	0.0345  	0.0000  	0.0000  	0.0001  	0.0000  	0.0000  	0.0001  	0.0010  	0.0008  	0.0000  	0.0000  	0.0000  	0.0000  	0.0000  	0.0002  	0.0004  	0.0000  	0.1241  	0.0000  	0.0000  	0.0468  	0.0004  	0.0000  	0.0000  	0.0000  	0.0000  	0.0002  	0.0000  	0.0001  	0.0020  	0.0012  	0.0000  	0.0001  	0.0267  	0.0073  	0.0000  	0.0000  	0.0000  	0.0000  	0.0001  	0.0013  	0.0000  	0.0004  	0.0000  	0.0000  	0.0225  
RL_189       	0.04         		0.0005  	0.0000  	0.1001  	0.0000  	0.1978  	0.0025  	0.0108  	0.0002  	0.0000  	0.2815  	0.0016  	0.0000  	0.0000  	0.0090  	0.0000  	0.1517  	0.0000  	0.0000  	0.0040  	0.3917  	0.0003  	0.1018  	0.3265  	0.0000  	0.0000  	0.0000  	0.0065  	0.0005  	0.0027  	0.0011  	0.0000  	0.0717  	0.0000  	0.0010  	0.0002  	0.2588  	0.0001  	0.0000  	0.0000  	0.0002  	0.0000  	0.0001  	0.0030  	0.0000  	0.0000  	0.1978  	0.0006  	0.0000  	0.0000  
WAB_282      	0.09         		0.4414  	0.0000  	0.0000  	0.0000  	0.0000  	0.0000  	0.0043  	0.3706  	0.0000  	0.0150  	0.0000  	0.1092  	0.0000  	0.0034  	0.0003  	0.0018  	0.0000  	0.0379  	0.0224  	0.0000  	0.0007  	0.0000  	0.8126  	0.0000  	0.0000  	0.5206  	0.0002  	0.0000  	0.0000  	0.0000  	0.3226  	0.0467  	0.0000  	0.0000  	0.0000  	0.0453  	0.0037  	0.3550  	0.0000  	0.0000  	0.0000  	0.0000  	0.0210  	0.0001  	0.5919  	0.1197  	0.0051  	0.3217  	0.0629  
