Contract Year,Sample ID,Population,Type,Date collected,Subsp.,Sex,Processed?,Extracted Sample Location,Sample Plate,Backup Sample in Lysis?,Leftover of Original Sample?,Sample Location,,,,,,,,,,,,,
2022/2023,1,Nahanni,Biopsy,26-Jan-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,2,Etthithun,Biopsy,26-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,Total,1533,,,,,,,,,,
2022/2023,3,Etthithun,Biopsy,26-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,Number Processed,1030,,,,,,,,,,
2022/2023,4,Nordquist/Liard,Biopsy,16-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,Controls,20,,,,,,,,,,
2022/2023,5,Etthithun,Biopsy,25-Jan-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,2022/2023 Contract,457,,,,,,,,,,
2022/2023,6,Nordquist/Liard,Biopsy,16-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,2023/2024 Contract,254,,,,,,,,,,
2022/2023,7,Etthithun,Biopsy,25-Jan-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,3 tissue punches,Chest freezer - hair and biopsy bin,,2024/2025 Contract,299,,,,,,,,,,
2022/2023,8,Nordquist/Liard,Biopsy,15-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,9,Etthithun,Biopsy,25-Jan-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,10,Nordquist/Liard,Biopsy,16-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,11,Nordquist/Liard,Biopsy,16-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,3 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,12,Etthithun,Biopsy,25-Jan-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,3 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,13,Nordquist/Liard,Biopsy,15-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,14,Nordquist/Liard,Biopsy,15-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
