Herd,Subspecies,Case #,Lab,Metadata file,Date sampled,Genotypes received,File,ID NAME,ID,Sample,BMS1117,BMS1117_2,TGLA53,TGLA53_2,BMC4214,BMC4214_2
BNP,plains,EIB553,Davis,,,2021,EIB77_773_Parks Canada_Results,20,27,,89,91,136,138,175,175
BNP,plains,EIB554,Davis,,,2021,EIB77_773_Parks Canada_Results,21,28,,89,91,136,136,187,187
BNP,plains,EIB555,Davis,,,2021,EIB77_773_Parks Canada_Results,22,29,,89,91,136,138,175,187
BNP,plains,EIB556,Davis,,,2021,EIB77_773_Parks Canada_Results,23,30,,89,91,134,136,179,185
BNP,plains,EIB557,Davis,,,2021,EIB77_773_Parks Canada_Results,24,31,,91,91,136,136,185,187
BNP,plains,EIB558,Davis,,,2021,EIB77_773_Parks Canada_Results,25,32,,91,91,136,140,181,187
BNP,plains,EIB559,Davis,,,2021,EIB77_773_Parks Canada_Results,26,33,,89,89,134,136,175,187
BNP,plains,EIB560,Davis,,,2021,EIB77_773_Parks Canada_Results,27,34,,91,93,136,136,181,187
BNP,plains,EIB561,Davis,,,2021,EIB77_773_Parks Canada_Results,28,35,,91,91,136,140,175,187
BNP,plains,EIB562,Davis,,,2021,EIB77_773_Parks Canada_Results,29,36,,91,91,136,140,175,185
BNP,plains,EIB511,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,415 / F12,13,,89,89,134,136,185,187
BNP,plains,EIB505,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,420 / M19,11,,89,91,134,136,175,181
BNP,plains,EIB499,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,421 / F17,9,,89,91,136,140,185,187
BNP,plains,EIB487,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,424 / F6,6,,91,91,136,136,175,187
BNP,plains,EIB481,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,425 / F15,4,,89,91,136,136,181,185
BNP,plains,EIB475,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,426 / F11,1,,89,91,136,136,175,175
BNP,plains,EIB518,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,428 / F7,15,,89,91,136,136,187,187
BNP,plains,EIB512,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,431 / M2,14,,91,91,136,140,175,187
BNP,plains,EIB506,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,432 / M4,12,,89,91,136,136,185,187
BNP,plains,EIB500,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,433 / F14,10,,91,91,136,136,181,187
BNP,plains,EIB488,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,436 / F8,7,,91,91,136,136,187,187
BNP,plains,EIB476,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,443 / F10,2,,89,91,136,136,185,185
BNP,plains,EIB495,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,457 / M18(30),8,,89,91,136,136,175,187
BNP,plains,EIB483,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,473 / M5,5,,91,91,134,136,185,187
BNP,plains,EIB477,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,474 / M3,3,,91,91,136,138,175,187
BNP,plains,EIB520,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,479 / F13,16,,89,91,136,136,187,187
BNP,plains,EIB719,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,1-003,39,,91,91,134,136,175,187
BNP,plains,EIB723,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,1-007,43,,89,91,136,136,175,175
BNP,plains,EIB724,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,1-008,44,,91,91,134,136,175,185
BNP,plains,EIB725,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,1-009,45,,89,89,134,136,181,185
BNP,plains,EIB728,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,1-012,48,,89,89,136,136,181,185
BNP,plains,EIB729,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,1-013,49,,89,91,136,136,175,185
BNP,plains,EIB732,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,1-016,51,,89,91,134,136,175,187
BNP,plains,EIB717,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 1?,37,,91,91,136,136,187,187
BNP,plains,EIB726,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 10?,46,,89,89,136,136,175,187
BNP,plains,EIB727,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 11?,47,,89,91,136,136,181,187
BNP,plains,EIB731,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 15?,50,,89,91,136,136,185,187
BNP,plains,EIB734,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 18?,52,,89,91,136,138,175,185
BNP,plains,EIB735,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 19?,53,,91,91,136,136,175,187
BNP,plains,EIB718,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 2?,38,,89,89,136,136,187,187
BNP,plains,EIB739,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 23?,54,,89,89,136,136,187,187
BNP,plains,EIB720,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 4?,40,,89,91,136,136,181,181
BNP,plains,EIB721,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 5?,41,,89,91,136,136,175,187
