Kit #,Sample name,Description,Contact,Date received at LeRDC/Sherbrooke,Condition on Arrival,Sample temperature,Bison Sex,Age,Bison Herd,Area,Bison subspecies,Date of Collection,Location (GPS?),Notes,date of gDNA extraction,DNA/Sample sent to Trent,Metagenomic,5 mL tube,2 mL tube,Ziploc,Comments,,1
121,BNP-121-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Frozen,Unknown,Adult,Banff National Park Main Herd,Banff National Park,Plain,1/11/2022,11u 593243  5717168,,10/14/2022,,1/12/2023,x,,,,,
122,BNP-122-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Frozen,Unknown,Adult,Banff National Park Main Herd,Banff National Park,Plain,1/11/2022,11u 593232  5717159,,10/14/2022,11/16/2022,1/12/2023,x,,,,,
123,BNP-123-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Frozen,Unknown,NA,Banff National Park Main Herd,Banff National Park,Plain,3/12/2022,utm 11u 0593035  5716384,,10/14/2022,,1/12/2023,x,,,,,
124,BNP-124-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Frozen,Unknown,NA,Banff National Park Main Herd,Banff National Park,Plain,3/12/2022,utm 11u 0593035 5716384,,10/14/2022,,1/12/2023,x,,,,,
125,BNP-125-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Warm,Unknown,NA,Banff National Park Main Herd,Banff National Park,Plain,5/10/2022,"0580472, 5724446",,10/14/2022,11/16/2022,1/12/2023,x,,,,,
126,BNP-126-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Warm,Male,NA,Banff National Park Main Herd,Banff National Park,Plain,5/10/2022,"11u 580248, 5724616",scotch,10/14/2022,,1/12/2023,x,,,,,
127,BNP-127-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,NA,Unknown,NA,Banff National Park Main Herd,Banff National Park,Plain,5/10/2022,580425 5724441,scotch,10/27/2022,11/16/2022,1/12/2023,x,,,,,
128,BNP-128-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Cold,Male,Adult,Banff National Park Main Herd,Banff National Park,Plain,5/27/2022,utm 11u 0593961 5717201,,10/14/2022,11/16/2022,1/12/2023,x,,,,,
129,BNP-129-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Cold,Unknown,NA,Banff National Park Main Herd,Banff National Park,Plain,6/8/2022,11u 580708E 5724327N,,10/14/2022,11/16/2022,1/12/2023,x,,,,,
130,BNP-130-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Cold,Unknown,NA,Banff National Park Main Herd,Banff National Park,Plain,6/8/2022,11u 580710E 5724037 N,,10/14/2022,11/16/2022,1/12/2023,x,,,,,
131,BNP-131-Fe,RNA later/Fecal,Saundi Stevens,6/14/2022,Thawed,Cold,Unknown,NA,Banff National Park Main Herd,Banff National Park,Plain,6/8/2022,11u 05804831 5724436,51.66512  X  115.83630,10/14/2022,11/16/2022,1/12/2023,x,,,,,
133,BNP-133-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Cold,unknown,Unknown,env 50 head,Banff National Park,Plain,7/25/2022,51.739366-115.9228477,,11/8/2024,,,,,,,,
134,BNP-134-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Cold,unknown,Unknown,env 50 head,Banff National Park,Plain,7/25/2022,51.73935-115.927669,,11/8/2024,,,,,,,,
135,BNP-135-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Frozen,unknown,Young adult or adult,Banff National Park Main Herd,Banff National Park,Plain,1/8/2023,utm 11u 592397/5715756,,11/8/2024,,,,,,,,
