"","Population","n","HEXP","HOBS","Na","AR","AE","FIS","NP","RP"
"1","CL",20,0.487,0.51,3.39,2.33,1.95,-0.048,2,0.02
"2","ETH",31,0.55,0.557,3.82,2.54,2.22,-0.013,0,0.01
"3","HZ",20,0.542,0.53,3.61,2.49,2.18,0.02,1,0.01
"4","NAH",8,0.586,0.554,3.55,2.66,2.42,0.053,0,0.02
"5","RL",29,0.553,0.568,3.63,2.53,2.24,-0.03,3,0.04
"6","WAB",8,0.528,0.548,2.96,2.43,2.12,-0.046,0,0.09
"7","WBNPGR",21,0.627,0.611,4.94,2.89,2.68,0.025,4,0.06
"8","WBNPPAD",34,0.65,0.624,5.39,2.98,2.86,0.04,7,0.07
"9","WBNPNY",32,0.601,0.598,4.76,2.75,2.51,0.003,4,0.04
"10","WBNPLB",25,0.591,0.617,4.55,2.72,2.44,-0.041,1,0.03
"11","WBNPHC",30,0.62,0.626,4.98,2.84,2.63,-0.012,3,0.04
"12","EINPP",35,0.637,0.629,4.67,2.88,2.75,0.012,5,0.1
"13","EINPW",19,0.564,0.565,3.96,2.6,2.29,-0.007,3,0.02
"14","NORD",17,0.537,0.537,3.41,2.49,2.16,0,0,0.01
"15","WENT",4,0.577,0.587,2.73,2.52,2.36,-0.038,1,0.04
"16","AISH",63,0.546,0.546,4.33,2.54,2.2,0,2,0.02
