"","ll","hl"
"HZ",-0.0461,0.0321
"RL",-0.049,0.0664
"WAB",-0.0667,0.0856
"WBNPGR",-0.0498,0.0498
"WBNPPAD",-0.0319,0.0369
"WBNPNY",-0.0602,0.0358
"WBNPLB",-0.0319,0.0864
"WBNPHC",0.0017,0.0692
"EINPP",-0.0106,0.0579
"EINPW",0.0019,0.0588
"MBS",-0.0173,0.0207
"WENT",-0.0427,0.1483
"WBNPC2",-0.0119,0.0385
"WBNPC1",-0.0241,0.058
"CL",-0.0871,-0.0088
"ETH",-0.043,0.0214
"HZ1",-0.0268,0.0708
"NAH",-0.0301,0.1251
"RL1",-0.0658,0.014
"WAB1",-0.1287,0.0371
"WBNPGR1",-0.0136,0.059
"WBNPPAD1",0.0105,0.0753
"WBNPNY1",-0.0351,0.0486
"WBNPLB1",-0.0826,-0.0039
"WBNPHC1",-0.041,0.0256
"EINPP1",-0.0283,0.0426
"EINPW1",-0.0605,0.0418
"NORD",-0.055,0.0516
"WENT1",-0.1484,0.0828
"AISH",-0.0267,0.0283
"WBNPC21",0.0108,0.0616
"WBNPC11",-0.0476,0.0159
