"Population","n","Weighted.Mean","Ind.Alleles","r.2","Exp.r.2.","Ne","jack_Low","jack_High","Eff.df"
"EINPP",30,30,12561,0.038792,0.036878,159.2,"86.6","     713.8",4955
"EINPW",39,39,10332,0.034429,0.027738,47.7,"27","     117.9",496
"MBS",28,28,10909,0.040478,0.039856,493.8,"114.7","  Infinite",3309
"WBNPGR",10,10,11343,0.134596,0.137116,-123.9,"266.2","  Infinite",10765
"WBNPHC",23,23,13037,0.050462,0.049739,424.1,"105.1","  Infinite",4461
"WBNPLB",11,10.8,8263,0.128464,0.123295,57.8,"10.8","  Infinite",435
"WBNPNY",13,13,9102,0.101499,0.097841,82.5,"28.8","  Infinite",2113
"WBNPPAD",24,24,13517,0.047281,0.0473,-16219.7,"156.6","  Infinite",4730
"HZ",33,33,9251,0.039936,0.033232,47.6,"29.9","      93.7",1037
"MBS",51,50.9,9964,0.02094,0.020858,4090.5,"351.1","  Infinite",4815
"RL",19,19,7833,0.071139,0.061836,31.3,"16.5","     105.8",813
"WAB",10,10,5354,0.150745,0.1369,20.4,"8.9","     223.3",985
"WENT",5,5,5277,0.352942,0.3608,-40.8,"14.9","  Infinite",1549
"AISH",63,62.7,9235,0.017762,0.016762,331.5,"     151.2","  Infinite",1932
"CL",20,19.9,5883,0.06266,0.05872,76.5,"      31.9","  Infinite",1262
"EINPP",35,34.3,12514,0.036563,0.031731,66.9,"      35.8","     229.8",770
"EINPW",19,17.6,8879,0.064795,0.06373,287.4,"      66.0","  Infinite",2878
"ETH",31,31,7960,0.038405,0.035578,115.8,"      58.2","     850.5",1729
"HZ",20,19.9,7008,0.059757,0.058462,236.2,"      62.7","  Infinite",2457
"NAH",8,7.8,6929,0.232873,0.189062,4.2,"       1.6","      52.5",219
"NORD",17,17,6100,0.090677,0.070683,13.5,"       6.2","      40.6",311
"RL",29,29,7244,0.043446,0.038355,58.8,"      35.8","     133.1",1666
"WAB",8,8,4189,0.206681,0.185746,12.8,"       5.4","      61.8",1123
"WBNPGR",21,20.9,11839,0.055504,0.055371,2320.5,"     110.5","  Infinite",3715
"WBNPHC",30,29.6,13805,0.03886,0.037305,196.4,"      70.2","  Infinite",1729
"WBNPLB",25,24.7,11134,0.048738,0.045754,101.5,"      35.4","  Infinite",757
"WBNPNY",32,31.5,11120,0.037668,0.034924,119.4,"      64.6","     486.6",2356
"WBNPPAD",34,33.6,14825,0.033462,0.032533,356.9,"     130.8","  Infinite",3694
"WENT",4,4,3271,0.465202,0.509336,-8.4,"  Infinite","  Infinite",2057
