,Population,n,Harmonic Mean Sample Size (n),Independent Comparisons,Overall r2,Expected r2,Estimated Ne,CI Lower Limit,CI Upper Limit,Effective DF
T1,EINPP,30,30,12561,0.039,0.037,159.2,86.6,713.8,4955
,EINPW,39,39,10332,0.034,0.028,47.7,27,117.9,496
,HZ,33,33,9251,0.040,0.033,47.6,29.9,93.7,1037
,MBS,79,78.9,11659,0.014,0.013,338.4,190.9,1162.3,2975
,RL,19,19,7833,0.071,0.062,31.3,16.5,105.8,813
,WAB,10,10,5354,0.151,0.137,20.4,8.9,223.3,985
,WBNPC1,29,28.7,11879,0.041,0.039,117.6,51.7,  Infinite,1453
,WBNPC2,40,40,15182,0.027,0.027,1054.7,254.4,  Infinite,6250
,WBNPGR,10,10,11343,0.135,0.137,-123.9,266.2,  Infinite,10765
,WBNPHC,23,23,13037,0.050,0.050,424.1,105.1,  Infinite,4461
,WBNPLB,11,10.8,8263,0.128,0.123,57.8,10.8,  Infinite,435
,WBNPNY,18,17.8,10728,0.071,0.067,63,29.8,1290.7,1738
,WBNPPAD,25,25,14006,0.045,0.045,7813.8,172.3,  Infinite,5552
,WENT,5,5,5277,0.353,0.361,-40.8,14.9,  Infinite,1549
T2,AISH,63,62.7,9235,0.018,0.017,331.5,151.2,  Infinite,1932
,CL,20,19.9,5883,0.063,0.059,76.5,31.9,  Infinite,1262
,EINPP,35,34.3,12514,0.037,0.032,66.9,35.8,229.8,770
,EINPW,19,17.6,8879,0.065,0.064,287.4,66,  Infinite,2878
,ETH,31,31,7960,0.038,0.036,115.8,58.2,850.5,1729
,HZ,20,19.9,7008,0.060,0.058,236.2,62.7,  Infinite,2457
,NAH,8,7.8,6929,0.233,0.189,4.2,1.6,52.5,219
,NORD,17,17,6100,0.091,0.071,13.5,6.2,40.6,311
,RL,29,29,7244,0.043,0.038,58.8,35.8,133.1,1666
,WAB,8,8,4189,0.207,0.186,12.8,5.4,61.8,1123
,WBNPC1,57,56.2,11606,0.022,0.019,120.2,71.4,295.1,1229
,WBNPC2,59,58.5,16713,0.018,0.018,1120.1,320.7,  Infinite,5056
,WBNPGR,21,20.9,11839,0.056,0.055,2320.5,110.5,  Infinite,3715
,WBNPHC,30,29.6,13805,0.039,0.037,196.4,70.2,  Infinite,1729
,WBNPLB,25,24.7,11134,0.049,0.046,101.5,35.4,  Infinite,757
,WBNPNY,32,31.5,11120,0.038,0.035,119.4,64.6,486.6,2356
,WBNPPAD,34,33.6,14825,0.033,0.033,356.9,130.8,  Infinite,3694
,WENT,4,4,3271,0.465,0.509,-8.4,  Infinite,  Infinite,2057
