"Population","Locus","T1","T2","T3","Prevalence"
"RL","RM372",NA,0.12037,0.14254,2
"CL","INRA194",NA,NA,0.10757,1
"EINPP","BMS1857",0.12543,NA,NA,1
"EINPP","BMS601",0.12528,NA,NA,1
"EINPP","ILSTS102",NA,NA,0.1301,1
"EINPP","INRA037",NA,NA,0.10058,1
"EINPP","INRA194",0.13886,NA,NA,1
"EINPW","BM4107",NA,NA,0.14581,1
"EINPW","BMS1001",NA,NA,0.16493,1
"EINPW","BMS601",NA,NA,0.10346,1
"HZ","BL1036",NA,0.10566,NA,1
"HZ","BMS2258",NA,NA,0.11249,1
"HZ","BMS601",NA,0.11989,NA,1
"HZ","HUJ246",NA,NA,0.1917,1
"NORD","BM4107",NA,NA,0.1207,1
"NORD","BM4440",NA,NA,0.11097,1
"NORD","HUJ246",NA,NA,0.10599,1
"RL","BM47",NA,0.20822,NA,1
"RL","BMS1355",NA,0.18777,NA,1
"WAB","BM1824",NA,0.11065,NA,1
"WAB","BM711",NA,0.11065,NA,1
"WAB","BMS1675",NA,0.11065,NA,1
"WAB","BMS1747",NA,0.10479,NA,1
"WAB","BMS410",NA,0.15743,NA,1
"WAB","BMS510",NA,0.11752,NA,1
"WAB","BMS941",NA,0.1917,NA,1
"WBNPGR","BMS510",0.11027,NA,NA,1
"WBNPHC","BMS1355",0.11006,NA,NA,1
"WBNPHC","BMS1675",NA,NA,0.10989,1
"WBNPHC","BMS941",0.11928,NA,NA,1
"WBNPLB","BL1036",0.16298,NA,NA,1
"WBNPLB","BM757",0.13201,NA,NA,1
"WBNPLB","BMS410",0.12271,NA,NA,1
"WBNPLB","BMS601",0.13086,NA,NA,1
"WBNPLB","INRA133",0.15652,NA,NA,1
"WBNPNY","BM1824",NA,NA,0.11025,1
"WBNPNY","BMS410",0.15022,NA,NA,1
"WBNPPAD","BMS1074",NA,NA,0.11596,1
"WBNPPGR","BM4311",NA,NA,0.1151,1
