"Population","Locus","T1","T2","Prevalence"
"RL","RM372",0.12037,0.14254,2
"WAB","BM1824",0.11065,0.10356,2
"CL","INRA194",NA,0.10757,1
"EINPP","BMS1857",0.12543,NA,1
"EINPP","BMS601",0.12528,NA,1
"EINPP","ILSTS102",NA,0.1301,1
"EINPP","INRA037",NA,0.10058,1
"EINPP","INRA194",0.13886,NA,1
"EINPW","BM4107",NA,0.14581,1
"EINPW","BMS1001",NA,0.16493,1
"EINPW","BMS601",NA,0.10346,1
"HZ","BL1036",0.10566,NA,1
"HZ","BMS2258",NA,0.11249,1
"HZ","BMS601",0.11989,NA,1
"HZ","HUJ246",NA,0.1917,1
"NAH","BM711",NA,0.16408,1
"NAH","BM720",NA,0.14584,1
"NAH","BMS1074",NA,0.10813,1
"NAH","BMS1747",NA,0.16177,1
"NAH","BMS510",NA,0.14508,1
"NAH","BMS601",NA,0.126,1
"NAH","ILSTS102",NA,0.11323,1
"NAH","INRA133",NA,0.23296,1
"NAH","TGLA122",NA,0.24709,1
"NAH","TGLA53",NA,0.16408,1
"NORD","BM4107",NA,0.1207,1
"NORD","BM4440",NA,0.11097,1
"NORD","HUJ246",NA,0.10599,1
"RL","BM47",0.20822,NA,1
"RL","BMS1355",0.18777,NA,1
"WAB","BM1862",NA,0.16177,1
"WAB","BM711",0.11065,NA,1
"WAB","BMS1355",NA,0.15257,1
"WAB","BMS1675",0.11065,NA,1
"WAB","BMS1747",0.10479,NA,1
"WAB","BMS2258",NA,0.11773,1
"WAB","BMS410",0.15743,NA,1
"WAB","BMS510",0.11752,NA,1
"WAB","BMS941",0.1917,NA,1
"WAB","INRA037",NA,0.11413,1
"WAB","INRA133",NA,0.17353,1
"WAB","INRA194",NA,0.15257,1
"WBNPGR","BMS510",0.11027,NA,1
"WBNPHC","BMS1355",0.11006,NA,1
"WBNPHC","BMS1675",NA,0.10989,1
"WBNPHC","BMS941",0.11928,NA,1
"WBNPLB","BL1036",0.16298,NA,1
"WBNPLB","BM757",0.13201,NA,1
"WBNPLB","BMS410",0.12271,NA,1
"WBNPLB","BMS601",0.13086,NA,1
"WBNPLB","INRA133",0.15652,NA,1
"WBNPNY","BM1824",NA,0.11025,1
"WBNPPAD","BMS1074",NA,0.11596,1
"WBNPPGR","BM4311",NA,0.1151,1
"WENT","BM1225",NA,0.15257,1
"WENT","BM4440",NA,0.15257,1
"WENT","BMS1001",0.26895,NA,1
"WENT","BMS1074",0.19831,NA,1
"WENT","BMS1315",0.23618,NA,1
"WENT","BMS1355",0.16487,NA,1
"WENT","BMS1675",NA,0.15257,1
"WENT","BMS1747",NA,0.10733,1
"WENT","BMS410",NA,0.29029,1
"WENT","BMS601",NA,0.19665,1
"WENT","BMS941",NA,0.19665,1
"WENT","HUJ246",NA,0.19665,1
"WENT","IL4",0.23618,NA,1
"WENT","SPS115",0.19831,NA,1
