"Population","Period","N","HE","HO","AR","FIS"
"AISH","T2",63,"0.54 ± 0.18","0.54 ± 0.19","2.96 ± 0.76",0
"CL","T2",20,"0.48 ± 0.21","0.51 ± 0.22","2.69 ± 0.79",-0.05
"EINPW","T1",39,"0.55 ± 0.17","0.54 ± 0.16","3.05 ± 0.7",0.02
"EINPW","T2",19,"0.56 ± 0.17","0.57 ± 0.19","3.05 ± 0.72",-0.01
"ETH","T2",31,"0.55 ± 0.19","0.56 ± 0.2","2.96 ± 0.78",-0.01
"HZ","T1",33,"0.56 ± 0.16","0.56 ± 0.18","3.03 ± 0.69",0
"HZ","T2",20,"0.54 ± 0.16","0.53 ± 0.18","2.9 ± 0.71",0.02
"MBS","T1",79,"0.6 ± 0.15","0.6 ± 0.15","3.19 ± 0.74",0
"NAH","T2",8,"0.58 ± 0.15","0.56 ± 0.22","3.12 ± 0.76",0.05
"NORD","T2",17,"0.54 ± 0.2","0.54 ± 0.23","2.86 ± 0.77",0
"RL","T1",19,"0.56 ± 0.17","0.55 ± 0.21","2.93 ± 0.78",0.02
"RL","T2",29,"0.55 ± 0.17","0.56 ± 0.19","2.9 ± 0.74",-0.03
"WAB","T1",10,"0.54 ± 0.19","0.54 ± 0.24","2.81 ± 0.86",0.02
"WAB","T2",8,"0.53 ± 0.2","0.55 ± 0.25","2.75 ± 0.86",-0.05
"WBNPC1","T1",24,"0.61 ± 0.16","0.6 ± 0.19","3.36 ± 0.83",0.02
"WBNPC1","T2",57,"0.59 ± 0.15","0.6 ± 0.17","3.24 ± 0.71",-0.01
"WBNPC2","T1",40,"0.64 ± 0.15","0.63 ± 0.16","3.52 ± 0.81",0.01
"WBNPC2","T2",59,"0.64 ± 0.13","0.62 ± 0.13","3.56 ± 0.77",0.04
"WBNPGR","T1",10,"0.63 ± 0.16","0.63 ± 0.19","3.5 ± 0.92",0
"WBNPGR","T2",21,"0.63 ± 0.15","0.61 ± 0.17","3.5 ± 0.88",0.02
"WBNPHC","T1",23,"0.63 ± 0.16","0.61 ± 0.16","3.51 ± 0.76",0.03
"WBNPHC","T2",30,"0.62 ± 0.14","0.63 ± 0.16","3.41 ± 0.76",-0.01
"WBNPLB","T1",11,"0.61 ± 0.17","0.59 ± 0.2","3.27 ± 0.81",0.02
"WBNPLB","T2",25,"0.59 ± 0.15","0.62 ± 0.19","3.23 ± 0.72",-0.04
"WBNPNY","T1",13,"0.6 ± 0.18","0.61 ± 0.21","3.31 ± 0.92",-0.01
"WBNPNY","T2",32,"0.6 ± 0.15","0.6 ± 0.17","3.26 ± 0.74",0
"WBNPPAD","T1",25,"0.65 ± 0.15","0.64 ± 0.17","3.56 ± 0.86",0
"WBNPPAD","T2",34,"0.65 ± 0.13","0.62 ± 0.14","3.62 ± 0.73",0.04
"WENT","T1",5,"0.59 ± 0.19","0.56 ± 0.28","3.19 ± 1.04",0.05
"WENT","T2",4,"0.58 ± 0.16","0.59 ± 0.27","6.46 ± 1.91",-0.05
"EINPP","T1",30,"0.64 ± 0.12","0.63 ± 0.13","3.41 ± 0.75",0.02
"EINPP","T2",35,"0.63 ± 0.12","0.63 ± 0.14","3.4 ± 0.7",0.01
