"Population","Period","N","HE","HO","AR","FIS"
"AISH","T3",63,"0.54 ± 0.18","0.55 ± 0.19","2.54 ± 0.59",0
"CL","T3",20,"0.48 ± 0.21","0.51 ± 0.22","2.32 ± 0.64",-0.05
"EINPW","T1",39,"0.55 ± 0.17","0.54 ± 0.17","3.53 ± 0.87",0.02
"EINPW","T3",19,"0.56 ± 0.17","0.56 ± 0.19","2.6 ± 0.56",0
"ETH","T3",31,"0.55 ± 0.19","0.56 ± 0.2","2.55 ± 0.61",-0.01
"HZ","T2",33,"0.56 ± 0.16","0.57 ± 0.18","3.04 ± 0.7",0
"HZ","T3",20,"0.55 ± 0.16","0.53 ± 0.18","2.5 ± 0.54",0.02
"MBS","T1",28,"0.61 ± 0.16","0.62 ± 0.17","3.73 ± 0.98",-0.03
"MBS","T2",51,"0.6 ± 0.15","0.59 ± 0.15","3.19 ± 0.73",0.01
"NAH","T3",8,"0.58 ± 0.15","0.56 ± 0.23","2.65 ± 0.56",0.05
"NORD","T3",17,"0.54 ± 0.21","0.54 ± 0.23","2.51 ± 0.63",0
"RL","T2",19,"0.56 ± 0.17","0.56 ± 0.21","2.94 ± 0.79",0.02
"RL","T3",29,"0.55 ± 0.17","0.56 ± 0.19","2.52 ± 0.59",-0.03
"WAB","T2",10,"0.54 ± 0.19","0.54 ± 0.24","2.81 ± 0.87",0.01
"WAB","T3",8,"0.53 ± 0.2","0.55 ± 0.25","2.43 ± 0.66",-0.05
"WBNPC1","T1",24,"0.61 ± 0.16","0.6 ± 0.19","4.59 ± 1.46",0.02
"WBNPC1","T3",57,"0.59 ± 0.15","0.6 ± 0.17","3.24 ± 0.71",-0.01
"WBNPC2","T1",34,"0.64 ± 0.15","0.64 ± 0.17","4.94 ± 1.36",0
"WBNPC2","T3",59,"0.64 ± 0.13","0.62 ± 0.13","3.56 ± 0.77",0.04
"WBNPGR","T1",10,"0.63 ± 0.17","0.63 ± 0.2","4.13 ± 1.22",0
"WBNPGR","T3",21,"0.63 ± 0.15","0.62 ± 0.17","2.9 ± 0.62",0.02
"WBNPHC","T1",23,"0.63 ± 0.16","0.6 ± 0.16","4.18 ± 0.96",0.03
"WBNPHC","T3",30,"0.62 ± 0.14","0.62 ± 0.16","2.86 ± 0.55",-0.01
"WBNPLB","T1",11,"0.61 ± 0.17","0.59 ± 0.21","3.79 ± 1.04",0.03
"WBNPLB","T3",25,"0.59 ± 0.16","0.62 ± 0.19","2.72 ± 0.55",-0.04
"WBNPNY","T1",13,"0.6 ± 0.18","0.61 ± 0.21","3.82 ± 1.21",-0.01
"WBNPNY","T3",32,"0.6 ± 0.15","0.59 ± 0.17","2.75 ± 0.55",0.01
"WBNPPAD","T1",24,"0.65 ± 0.15","0.64 ± 0.18","4.23 ± 1.1",0.01
"WBNPPAD","T3",34,"0.65 ± 0.13","0.62 ± 0.14","2.99 ± 0.52",0.05
"WENT","T2",5,"0.59 ± 0.19","0.56 ± 0.28","3.19 ± 1.06",0.05
"WENT","T3",4,"0.58 ± 0.16","0.6 ± 0.27","2.53 ± 0.63",-0.06
"EINPP","T1",30,"0.64 ± 0.12","0.63 ± 0.13","3.96 ± 0.99",0.02
"EINPP","T3",35,"0.64 ± 0.11","0.64 ± 0.14","2.89 ± 0.49",0.01
