"Population","N.x","N.y","N","HE.x","HE.y","HE","HO.x","HO.y","HO","AR.x","AR.y","AR","FIS.x","FIS.y","FIS"
"AISH",NA,NA,63,NA,NA,"0.55 ± 0.18",NA,NA,"0.55 ± 0.19",NA,NA,"2.97 ± 0.76",NA,NA,0
"CL",NA,NA,20,NA,NA,"0.49 ± 0.21",NA,NA,"0.51 ± 0.22",NA,NA,"2.69 ± 0.79",NA,NA,-0.05
"EINPW",39,40,19,"0.56 ± 0.17","0.57 ± 0.16","0.56 ± 0.17","0.54 ± 0.16","0.57 ± 0.18","0.57 ± 0.19","4.13 ± 1.11","3.56 ± 0.84","3.06 ± 0.72",0.02,0,-0.01
"ETH",NA,NA,31,NA,NA,"0.55 ± 0.18",NA,NA,"0.56 ± 0.2",NA,NA,"2.95 ± 0.78",NA,NA,-0.01
"HZ",NA,33,20,NA,"0.56 ± 0.16","0.54 ± 0.16",NA,"0.56 ± 0.18","0.53 ± 0.18",NA,"3.57 ± 0.85","2.9 ± 0.71",NA,0,0.02
"MBS",28,51,NA,"0.61 ± 0.16","0.6 ± 0.15",NA,"0.62 ± 0.17","0.59 ± 0.15",NA,"4.37 ± 1.32","3.7 ± 0.97",NA,-0.02,0.01,NA
"NAH",NA,NA,8,NA,NA,"0.59 ± 0.15",NA,NA,"0.55 ± 0.22",NA,NA,"3.14 ± 0.77",NA,NA,0.05
"NORD",NA,NA,17,NA,NA,"0.54 ± 0.2",NA,NA,"0.54 ± 0.23",NA,NA,"2.86 ± 0.76",NA,NA,0
"RL",NA,19,29,NA,"0.56 ± 0.17","0.55 ± 0.17",NA,"0.56 ± 0.21","0.57 ± 0.19",NA,"3.38 ± 0.95","2.91 ± 0.73",NA,0.01,-0.03
"WAB",NA,10,8,NA,"0.53 ± 0.19","0.53 ± 0.2",NA,"0.53 ± 0.24","0.55 ± 0.25",NA,"3.2 ± 1.15","2.76 ± 0.85",NA,0.02,-0.05
"WBNP",81,NA,146,"0.63 ± 0.15",NA,"0.62 ± 0.13","0.62 ± 0.15",NA,"0.61 ± 0.14","5.17 ± 1.43",NA,"3.45 ± 0.72",0.02,NA,0.01
"EINPP",30,32,35,"0.64 ± 0.11","0.64 ± 0.11","0.64 ± 0.12","0.62 ± 0.13","0.64 ± 0.14","0.63 ± 0.14","4.55 ± 1.32","4.05 ± 1.01","3.41 ± 0.69",0.03,0,0.01
