"CL","ETH","HZ","NAH","RL","WAB","WBNPGR","WBNPPAD","WBNPNY","WBNPLB","WBNPHC","EINPP","EINPW","NORD","WENT","AISH","WBNPC2","WBNPC1"
NA,0.078,0.069,0.112,0.145,0.269,0.085,0.087,0.087,0.088,0.085,0.226,0.057,0.088,0.109,0.056,0.079,0.084
0.078,NA,0.045,0.063,0.132,0.208,0.052,0.052,0.068,0.068,0.059,0.185,0.027,0.064,0.076,0.037,0.049,0.067
0.069,0.045,NA,0.075,0.135,0.213,0.054,0.053,0.068,0.063,0.06,0.192,0.022,0.068,0.078,0.03,0.05,0.065
0.112,0.063,0.075,NA,0.127,0.193,0.054,0.036,0.065,0.067,0.051,0.144,0.043,0.072,0.082,0.054,0.043,0.066
0.145,0.132,0.135,0.127,NA,0.205,0.085,0.082,0.098,0.107,0.091,0.164,0.127,0.145,0.112,0.124,0.08,0.1
0.269,0.208,0.213,0.193,0.205,NA,0.159,0.135,0.178,0.19,0.163,0.149,0.217,0.214,0.22,0.219,0.143,0.181
0.085,0.052,0.054,0.054,0.085,0.159,NA,0.002,0.018,0.022,0.004,0.117,0.039,0.071,0.022,0.049,-0.008,0.02
0.087,0.052,0.053,0.036,0.082,0.135,0.002,NA,0.018,0.022,0.002,0.104,0.037,0.059,0.027,0.045,-0.008,0.021
0.087,0.068,0.068,0.065,0.098,0.178,0.018,0.018,NA,0.001,0.004,0.147,0.058,0.071,0.05,0.066,0.017,-0.009
0.088,0.068,0.063,0.067,0.107,0.19,0.022,0.022,0.001,NA,0.009,0.156,0.05,0.067,0.057,0.059,0.021,-0.008
0.085,0.059,0.06,0.051,0.091,0.163,0.004,0.002,0.004,0.009,NA,0.126,0.044,0.055,0.036,0.051,0.002,0.007
0.226,0.185,0.192,0.144,0.164,0.149,0.117,0.104,0.147,0.156,0.126,NA,0.177,0.205,0.146,0.195,0.11,0.153
0.057,0.027,0.022,0.043,0.127,0.217,0.039,0.037,0.058,0.05,0.044,0.177,NA,0.037,0.056,0.012,0.035,0.054
0.088,0.064,0.068,0.072,0.145,0.214,0.071,0.059,0.071,0.067,0.055,0.205,0.037,NA,0.081,0.042,0.059,0.068
0.109,0.076,0.078,0.082,0.112,0.22,0.022,0.027,0.05,0.057,0.036,0.146,0.056,0.081,NA,0.065,0.012,0.053
0.056,0.037,0.03,0.054,0.124,0.219,0.049,0.045,0.066,0.059,0.051,0.195,0.012,0.042,0.065,NA,0.043,0.061
0.079,0.049,0.05,0.043,0.08,0.143,-0.008,-0.008,0.017,0.021,0.002,0.11,0.035,0.059,0.012,0.043,NA,0.019
0.084,0.067,0.065,0.066,0.1,0.181,0.02,0.021,-0.009,-0.008,0.007,0.153,0.054,0.068,0.053,0.061,0.019,NA
