"","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT","WBNPC1","WBNPC2","EINPW","HZ","MBS","RL","WAB","EINPP"
"WBNPGR",NA,-0.00314295964540291,0.00406649191615606,0.00721301288836282,-0.00383963791184924,0.0246673893726538,0.000356182522504031,-0.0148930894061735,0.0562147180848756,0.0616734944057771,0.0297441347378381,0.0822377554105798,0.166866103041428,0.0913189640137646
"WBNPHC",-0.00314295964540291,NA,0.00942641036096152,0.010790140366426,0.00177354633563962,0.0185986268958332,0.00552433175183451,0.000285819527083779,0.040003190129693,0.0500545821405486,0.0258181070621926,0.0794985766193381,0.163033586213559,0.105448814711388
"WBNPLB",0.00406649191615606,0.00942641036096152,NA,0.021066687151674,0.00861566000538393,0.0317229528512031,-0.015594313878986,0.00728586530332874,0.0514616869493933,0.0623859888211837,0.0228055788349359,0.103224672951398,0.173010961359737,0.111665516369056
"WBNPNY",0.00721301288836282,0.010790140366426,0.021066687151674,NA,0.0145635449220813,0.0246210013753444,-0.0169093708824734,0.0103378558845683,0.0445972346028366,0.0486083013389594,0.0385128057880832,0.0928798581199384,0.186275205948765,0.135182799876316
"WBNPPAD",-0.00383963791184924,0.00177354633563962,0.00861566000538393,0.0145635449220813,NA,0.0286304756314167,0.00726663371545307,-0.0125022219873272,0.0472779287967778,0.0571229096270425,0.0265557864329948,0.0788096802235388,0.134846454850921,0.0775252837774301
"WENT",0.0246673893726538,0.0185986268958332,0.0317229528512031,0.0246210013753444,0.0286304756314167,NA,0.02160240566425,0.00892779187801341,0.0572827202155397,0.0596413195567284,0.0669433251903078,0.0768514873261278,0.197365389046778,0.125935860587912
"WBNPC1",0.000356182522504031,0.00552433175183451,-0.015594313878986,-0.0169093708824734,0.00726663371545307,0.02160240566425,NA,0.00437484615674608,0.0409888492273868,0.0479086949538957,0.0260455220388093,0.0902168349689632,0.17146353158383,0.121496033270806
"WBNPC2",-0.0148930894061735,0.000285819527083779,0.00728586530332874,0.0103378558845683,-0.0125022219873272,0.00892779187801341,0.00437484615674608,NA,0.0455783255267319,0.053053954756445,0.029093225956209,0.0737042868780666,0.143236587562222,0.085581430877094
"EINPW",0.0562147180848756,0.040003190129693,0.0514616869493933,0.0445972346028366,0.0472779287967778,0.0572827202155397,0.0409888492273868,0.0455783255267319,NA,0.0183962565451125,0.0628226551191901,0.108800901165783,0.210782149106071,0.171730233268173
"HZ",0.0616734944057771,0.0500545821405486,0.0623859888211837,0.0486083013389594,0.0571229096270425,0.0596413195567284,0.0479086949538957,0.053053954756445,0.0183962565451125,NA,0.0688084732796466,0.11874932296794,0.205227546037911,0.169259478895906
"MBS",0.0297441347378381,0.0258181070621926,0.0228055788349359,0.0385128057880832,0.0265557864329948,0.0669433251903078,0.0260455220388093,0.029093225956209,0.0628226551191901,0.0688084732796466,NA,0.0985057924808806,0.168900544936245,0.129120648757982
"RL",0.0822377554105798,0.0794985766193381,0.103224672951398,0.0928798581199384,0.0788096802235388,0.0768514873261278,0.0902168349689632,0.0737042868780666,0.108800901165783,0.11874932296794,0.0985057924808806,NA,0.195348581699372,0.14671241956387
"WAB",0.166866103041428,0.163033586213559,0.173010961359737,0.186275205948765,0.134846454850921,0.197365389046778,0.17146353158383,0.143236587562222,0.210782149106071,0.205227546037911,0.168900544936245,0.195348581699372,NA,0.153508947666294
"EINPP",0.0913189640137646,0.105448814711388,0.111665516369056,0.135182799876316,0.0775252837774301,0.125935860587912,0.121496033270806,0.085581430877094,0.171730233268173,0.169259478895906,0.129120648757982,0.14671241956387,0.153508947666294,NA
