"","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT","WBNPC1","WBNPC2","AISH","CL","EINPW","ETH","HZ","NAH","NORD","RL","WAB","EINPP"
"WBNPGR",NA,0.00353967845284378,0.0215432869137616,0.0178308725214476,0.00187890598317693,0.0218261501268155,0.0197877606277901,-0.0083658578027371,0.0492224473027695,0.0853000303693826,0.0386872057129539,0.0521588769530937,0.0539880057985184,0.0542214299752356,0.0707728918822664,0.0852888835477787,0.158893115473602,0.11740954026845
"WBNPHC",0.00353967845284378,NA,0.00928990786913632,0.00448177459446614,0.00213353969577073,0.0355700690717127,0.00663938062652418,0.00225139846351906,0.050822665815146,0.0848295851594433,0.0440827884548693,0.059486314698354,0.0597278535090507,0.0511675117861885,0.0547199392517889,0.0910042954893326,0.162646065464408,0.12556578525268
"WBNPLB",0.0215432869137616,0.00928990786913632,NA,0.000885573622853076,0.0221485661410289,0.0570740843528953,-0.00834957920013384,0.0206476815306692,0.0585639639981756,0.0883668035340513,0.0504988972746008,0.0684343462767787,0.0627159181668923,0.0674799571392256,0.0671268859264026,0.106799209651108,0.190036022446914,0.156356456139606
"WBNPNY",0.0178308725214476,0.00448177459446614,0.000885573622853076,NA,0.0182400277534542,0.0499179321600854,-0.00870779581308757,0.0172252081294365,0.0658129523477669,0.0872246693958786,0.0581939941410836,0.068491734028022,0.0683169537475184,0.0647413013514579,0.0714075727107969,0.0976284918285511,0.177706824534899,0.147138588924311
"WBNPPAD",0.00187890598317693,0.00213353969577073,0.0221485661410289,0.0182400277534542,NA,0.0265162339958925,0.0206865559514416,-0.00829638981807169,0.045067588766297,0.0865657172259565,0.0369729117037075,0.052068499021431,0.0534022508257016,0.0364344449575827,0.0587952804566548,0.0820494466529645,0.135227066373282,0.104480500519675
"WENT",0.0218261501268155,0.0355700690717127,0.0570740843528953,0.0499179321600854,0.0265162339958925,NA,0.0525507975165332,0.0120613152494091,0.0653124460241765,0.108525331498439,0.0562710437977616,0.0760975485185724,0.0779376863191006,0.0823038556473784,0.0808180729448966,0.111967867626427,0.220211368569591,0.146089470005087
"WBNPC1",0.0197877606277901,0.00663938062652418,-0.00834957920013384,-0.00870779581308757,0.0206865559514416,0.0525507975165332,NA,0.0192869908926409,0.0612728876736726,0.0841967727018329,0.0539840912810684,0.0671714655422003,0.0646489441233698,0.0657613072735541,0.0681864339521193,0.0999454354330601,0.180912977163871,0.152845914606835
"WBNPC2",-0.0083658578027371,0.00225139846351906,0.0206476815306692,0.0172252081294365,-0.00829638981807169,0.0120613152494091,0.0192869908926409,NA,0.0429900650049081,0.0792281299262547,0.0346255746735834,0.0488154332729041,0.0504501977408775,0.0425317379958056,0.0593012662050918,0.0796562472550836,0.142868440290597,0.110127241673742
"AISH",0.0492224473027695,0.050822665815146,0.0585639639981756,0.0658129523477669,0.045067588766297,0.0653124460241765,0.0612728876736726,0.0429900650049081,NA,0.0559019120830081,0.0117017255227313,0.0367466785411432,0.0296171766806294,0.0537475815373691,0.0422185043325092,0.12375468020052,0.219216348777213,0.195498000430911
"CL",0.0853000303693826,0.0848295851594433,0.0883668035340513,0.0872246693958786,0.0865657172259565,0.108525331498439,0.0841967727018329,0.0792281299262547,0.0559019120830081,NA,0.0568699908440197,0.0777389554522566,0.0694466526685989,0.111527647467109,0.0884854670032564,0.14534200442634,0.269004686954377,0.225813757954393
"EINPW",0.0386872057129539,0.0440827884548693,0.0504988972746008,0.0581939941410836,0.0369729117037075,0.0562710437977616,0.0539840912810684,0.0346255746735834,0.0117017255227313,0.0568699908440197,NA,0.0269602033465273,0.0215906124512926,0.0429205449105533,0.0373774650894668,0.126703018945661,0.216726270422688,0.177152092481291
"ETH",0.0521588769530937,0.059486314698354,0.0684343462767787,0.068491734028022,0.052068499021431,0.0760975485185724,0.0671714655422003,0.0488154332729041,0.0367466785411432,0.0777389554522566,0.0269602033465273,NA,0.0453431528085647,0.0630901403162325,0.0642777478495409,0.132080991088983,0.20766948463277,0.185454198551817
"HZ",0.0539880057985184,0.0597278535090507,0.0627159181668923,0.0683169537475184,0.0534022508257016,0.0779376863191006,0.0646489441233698,0.0504501977408775,0.0296171766806294,0.0694466526685989,0.0215906124512926,0.0453431528085647,NA,0.0745380437334673,0.0683561577254995,0.135038480230375,0.212575895507817,0.191579493135732
