"CL","ETH","HZ","NAH","RL","WAB","WBNPGR","WBNPPAD","WBNPNY","WBNPLB","WBNPHC","EINPP","EINPW","NORD","WENT","AISH","WBNPC2","WBNPC1"
NA,0.078,0.071,0.114,0.148,0.266,0.087,0.088,0.088,0.09,0.085,0.226,0.058,0.09,0.111,0.057,0.081,0.085
0.078,NA,0.042,0.065,0.133,0.209,0.051,0.052,0.07,0.068,0.06,0.188,0.026,0.064,0.079,0.035,0.048,0.068
0.071,0.042,NA,0.074,0.137,0.205,0.055,0.053,0.066,0.063,0.058,0.188,0.022,0.068,0.077,0.029,0.051,0.064
0.114,0.065,0.074,NA,0.13,0.192,0.055,0.038,0.066,0.069,0.053,0.145,0.044,0.074,0.086,0.055,0.044,0.068
0.148,0.133,0.137,0.13,NA,0.201,0.087,0.084,0.098,0.109,0.092,0.163,0.129,0.148,0.114,0.126,0.081,0.102
0.266,0.209,0.205,0.192,0.201,NA,0.152,0.131,0.177,0.186,0.161,0.15,0.213,0.212,0.22,0.216,0.138,0.179
0.087,0.051,0.055,0.055,0.087,0.152,NA,0.002,0.016,0.022,0.002,0.114,0.04,0.072,0.022,0.05,-0.008,0.019
0.088,0.052,0.053,0.038,0.084,0.131,0.002,NA,0.018,0.023,0.002,0.103,0.038,0.06,0.028,0.046,-0.008,0.021
0.088,0.07,0.066,0.066,0.098,0.177,0.016,0.018,NA,0,0.005,0.149,0.059,0.072,0.052,0.066,0.017,-0.009
0.09,0.068,0.063,0.069,0.109,0.186,0.022,0.023,0,NA,0.009,0.155,0.052,0.068,0.058,0.06,0.021,-0.009
0.085,0.06,0.058,0.053,0.092,0.161,0.002,0.002,0.005,0.009,NA,0.126,0.044,0.056,0.037,0.051,0.002,0.007
0.226,0.188,0.188,0.145,0.163,0.15,0.114,0.103,0.149,0.155,0.126,NA,0.177,0.206,0.148,0.196,0.109,0.154
0.058,0.026,0.022,0.044,0.129,0.213,0.04,0.038,0.059,0.052,0.044,0.177,NA,0.038,0.057,0.012,0.035,0.055
0.09,0.064,0.068,0.074,0.148,0.212,0.072,0.06,0.072,0.068,0.056,0.206,0.038,NA,0.083,0.043,0.06,0.07
0.111,0.079,0.077,0.086,0.114,0.22,0.022,0.028,0.052,0.058,0.037,0.148,0.057,0.083,NA,0.067,0.013,0.054
0.057,0.035,0.029,0.055,0.126,0.216,0.05,0.046,0.066,0.06,0.051,0.196,0.012,0.043,0.067,NA,0.044,0.062
0.081,0.048,0.051,0.044,0.081,0.138,-0.008,-0.008,0.017,0.021,0.002,0.109,0.035,0.06,0.013,0.044,NA,0.02
0.085,0.068,0.064,0.068,0.102,0.179,0.019,0.021,-0.009,-0.009,0.007,0.154,0.055,0.07,0.054,0.062,0.02,NA
