Locus,EINPP,EINPW,MBS,WBNPGR,WBNPHC,WBNPLB,WBNPNY,WBNPPAD
AGLA232,0.9729,1.0000,1.0000,1.0000,1.0000,0.9118,0.9815,0.8987
BL1036,0.9729,1.0000,0.8036,1.0000,1.0000,0.8693,0.9868,0.2352
BM1225,1.0000,1.0000,1.0000,1.0000,0.8367,0.9143,0.9868,0.8987
BM1706,0.6334,1.0000,1.0000,1.0000,1.0000,1.0000,0.9868,0.4731
BM17132,0.9729,1.0000,0.8908,1.0000,0.8367,0.8693,0.9648,0.4475
BM1824,1.0000,0.7792,0.8152,1.0000,0.9060,0.8693,0.9868,1.0000
BM1862,0.2409,1.0000,1.0000,1.0000,0.8367,0.8693,1.0000,0.8987
BM2113,0.6334,1.0000,1.0000,1.0000,1.0000,1.0000,0.9648,1.0000
BM2830,0.9729,1.0000,1.0000,1.0000,1.0000,0.9118,0.9868,0.9134
BM4107,0.9729,1.0000,0.8152,1.0000,0.8691,1.0000,0.9868,0.5451
BM4311,0.6334,0.7792,1.0000,1.0000,1.0000,0.8693,0.9868,0.8987
BM4440,0.9729,1.0000,0.8152,1.0000,1.0000,1.0000,1.0000,0.8987
BM47,0.9729,1.0000,1.0000,NA,1.0000,1.0000,NA,1.0000
BM711,0.9729,1.0000,1.0000,1.0000,1.0000,NA,1.0000,0.6287
BM720,0.9729,0.7792,0.8152,1.0000,0.8367,0.8693,1.0000,0.8987
BM757,0.6334,1.0000,1.0000,1.0000,1.0000,0.8693,0.9868,0.9702
BMC4214,0.6334,1.0000,0.9886,1.0000,1.0000,0.8693,0.9648,1.0000
BMS1001,0.9729,0.7792,0.9176,1.0000,0.8691,1.0000,0.8319,0.5451
BMS1074,0.6334,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9134
BMS1117,1.0000,1.0000,0.8152,1.0000,0.9060,1.0000,0.9868,0.6287
BMS1172,1.0000,1.0000,1.0000,1.0000,0.8367,0.8693,0.9648,0.9134
BMS1315,0.9729,1.0000,0.8908,1.0000,1.0000,0.8693,0.9868,1.0000
BMS1355,0.6334,1.0000,1.0000,1.0000,0.8367,0.9802,0.9868,0.9134
BMS1675,1.0000,1.0000,1.0000,1.0000,0.8367,0.8693,1.0000,0.4731
BMS1716,0.9729,0.7792,1.0000,1.0000,1.0000,1.0000,0.9868,0.4475
BMS1747,0.9729,1.0000,1.0000,1.0000,1.0000,0.8693,0.9868,0.4475
BMS1857,0.1421,1.0000,1.0000,1.0000,0.8691,1.0000,0.9648,0.6287
BMS1862,0.2409,1.0000,1.0000,1.0000,1.0000,0.9081,0.9868,0.9462
BMS2258,0.9729,1.0000,0.9176,1.0000,1.0000,1.0000,0.9868,1.0000
BMS2639,0.9729,1.0000,0.8908,1.0000,0.9060,0.8693,0.9868,0.8987
BMS410,0.9729,1.0000,0.8036,1.0000,1.0000,0.8693,0.9648,0.8987
BMS510,0.9729,1.0000,0.8908,1.0000,1.0000,0.8693,0.9868,1.0000
BMS527,0.5439,0.7792,1.0000,1.0000,0.8367,0.8693,0.9868,0.8987
BMS528,1.0000,1.0000,0.9123,1.0000,1.0000,1.0000,0.9868,0.4475
BMS601,0.2409,1.0000,1.0000,1.0000,1.0000,0.8693,0.9648,0.6287
BMS812,0.9729,1.0000,1.0000,1.0000,0.9060,0.8693,0.9868,0.8987
BMS941,0.5439,1.0000,0.8908,1.0000,0.8367,1.0000,1.0000,0.6814
HUJ246,0.7583,1.0000,0.8152,1.0000,1.0000,0.9656,0.9868,1.0000
IL4,1.0000,1.0000,1.0000,1.0000,0.8367,1.0000,0.9868,0.7426
ILSTS102,1.0000,NA,1.0000,NA,1.0000,NA,NA,1.0000
INRA037,1.0000,1.0000,0.8908,1.0000,0.8367,1.0000,0.9868,0.3871
INRA133,0.9729,1.0000,1.0000,1.0000,0.8691,0.8693,0.9648,0.7426
INRA194,0.1846,1.0000,0.9176,1.0000,0.8367,1.0000,0.9868,0.7426
RM372,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4731
SPS115,0.9729,0.7792,1.0000,1.0000,1.0000,0.8693,0.9868,0.8987
TGLA122,1.0000,0.7792,1.0000,1.0000,1.0000,0.9802,0.9868,1.0000
TGLA44,0.6664,1.0000,1.0000,1.0000,1.0000,0.8693,0.9868,0.5451
TGLA53,0.1421,0.7792,1.0000,1.0000,1.0000,0.8693,0.9648,0.9134
URB011,0.9729,1.0000,0.8908,1.0000,0.9060,1.0000,0.9648,0.8987
