"","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT","WBNPC1","WBNPC2","EINPW","HZ","MBS","RL","WAB","EINPP"
"WBNPGR",NA,0.00628660554200925,0.0197603326816629,0.015790341161457,0.00478051704128708,0.0463999338434845,0.0108854184000645,-0.010759016979691,0.0781089654379497,0.0842975419530247,0.0427701391333937,0.107725054833948,0.2021059477088,0.113144525543825
"WBNPHC",-0.0115380437757883,NA,0.0197578874689293,0.021524395850124,0.00697774639841183,0.0356846739823213,0.0114945194972243,0.00350312721535954,0.0528996988813433,0.0631331130624283,0.0325567852974185,0.101526922388457,0.200275053571547,0.130635568124317
"WBNPLB",-0.0097537169635565,-7.81101928769901e-05,NA,0.0367575606186982,0.0189109779122542,0.0605776219046262,-0.0108199940860531,0.0160916922563811,0.0745381553138069,0.0844100371442709,0.0344865580825367,0.133077888174213,0.215078824476023,0.13851360782162
"WBNPNY",-0.00100217828657841,0.00132487883649417,0.00620073966962617,NA,0.0225269185714065,0.0496050274696897,-0.0132785827626836,0.0165818396154376,0.0677852058484711,0.0658339539326058,0.0543289035986359,0.115777667153687,0.230495884203365,0.162826597314063
"WBNPPAD",-0.0118287994498945,-0.00328316797769151,-0.0012378796649057,0.00665723292160161,NA,0.0455647009231362,0.0144035987377187,-0.011493412643743,0.0597677921622294,0.0690874776895203,0.0364447525707829,0.0996369510761101,0.167208545966814,0.0962117999955977
"WENT",0.00406946110595208,0.00345815935627146,0.00871722004437804,0.00168950076842476,0.0126331438559192,NA,0.043448626423616,0.0228836477108359,0.0822439227717027,0.0932026247533038,0.0941400099481537,0.109378986304632,0.244577097812572,0.157164424463328
"WBNPC1",-0.00916663878325916,-7.01277420440519e-06,-0.0201861990537965,-0.0204031861183709,0.000422129812029136,0.00370653269253321,NA,0.00940729373234175,0.0582392330977674,0.061204932858559,0.035533584373503,0.113046114565437,0.209324145066998,0.147933031756173
"WBNPC2",-0.0188910555648295,-0.002882004296829,-0.000568597814715452,0.0043954027845291,-0.0134601069761584,-0.00359156602527034,7.76788815591967e-05,NA,0.057346234733965,0.0649509217454498,0.0373896050781548,0.0934953256317154,0.174952484251005,0.104145115534787
"EINPW",0.0357042894909133,0.0279530126585356,0.0317176936630652,0.0258653740727535,0.0353609465665233,0.0349254090000938,0.0264095220410857,0.0344012335953372,NA,0.0248063759566522,0.0809798110877503,0.135698813930086,0.250503553101026,0.204470306134076
"HZ",0.0412984015913839,0.0377743518535753,0.0415526836242618,0.0325496838419906,0.0457441367231712,0.0316806886977644,0.0355677424222309,0.0418657254708431,0.0124643971073442,NA,0.0863487338021071,0.153671281788823,0.24662526291093,0.202482390955874
"MBS",0.0164371066134422,0.0185418016567696,0.011334368428595,0.0239846834166545,0.0176638564150561,0.0430940884011105,0.0176286704429668,0.0208765605692512,0.0464475651486186,0.0526629186665747,NA,0.126338738139347,0.204879374514962,0.158429892592125
"RL",0.0580291367124296,0.0586104931960245,0.0749504184418786,0.0702155250760552,0.0594983962491089,0.0427217637094132,0.0689814083196521,0.0548188434437069,0.0821269253354528,0.0878554503627802,0.0751948680795114,NA,0.235087735244584,0.182057259906339
"WAB",0.13313164772933,0.124994509091137,0.130065303980581,0.139977423687553,0.103026664859917,0.14664240068134,0.130967755896369,0.112322404403655,0.167899528559562,0.164075257753142,0.132089435392384,0.155643265794232,NA,0.184442765984136
"EINPP",0.0695536821561246,0.083470299931121,0.0853203586118566,0.109013514945842,0.059666802588758,0.0964845124002467,0.0973979184431754,0.0681355122189784,0.140240598224174,0.136857736350837,0.101549214833383,0.113762331845529,0.125597643982385,NA
