"","Herd","QWood","QPlains"
"1","EINPP","0.024±0.016","0.976±0.016"
"2","EINPW","0.976±0.021","0.024±0.021"
"3","HZ","0.982±0.008","0.018±0.008"
"4","MBS","0.927±0.116","0.073±0.116"
"5","RL","0.587±0.099","0.413±0.099"
"6","WAB","0.084±0.056","0.916±0.056"
"7","WBNPGR","0.725±0.149","0.275±0.149"
"8","WBNPHC","0.774±0.167","0.226±0.167"
"9","WBNPLB","0.8±0.06","0.2±0.06"
"10","WBNPNY","0.894±0.092","0.106±0.092"
"11","WBNPPAD","0.653±0.171","0.347±0.171"
"12","WENT","0.851±0.093","0.149±0.093"
