"Locus","EINPP","EINPW","HZ","MBS","RL","WAB","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT"
"AGLA232","0.9729","1.0000","0.6992","0.9522","1.0000","1.0000","1.0000","1.0000","0.9118","0.9600","0.9076","0.9827"
"BL1036","0.9729","1.0000","0.6706","0.8947","1.0000","1.0000","1.0000","1.0000","0.8693","0.9600","0.2793",NA
"BM1225","1.0000","1.0000","0.8190","1.0000","0.8656","0.8358","1.0000","0.8367","0.9143","0.9571","0.9136","1.0000"
"BM1706","0.6334","1.0000","0.6992","1.0000","0.8656","0.8358","1.0000","1.0000","1.0000","0.9571","0.4214","1.0000"
"BM17132","0.9729","1.0000","0.6706","0.8947","0.8601","0.8358","1.0000","0.8367","0.8693","0.9571","0.3724","1.0000"
"BM1824","1.0000","0.7792","0.6706","0.8554","1.0000","0.8358","1.0000","0.9060","0.8693","0.9571","1.0000","1.0000"
"BM1862","0.2409","1.0000","0.9104","0.9199","0.5629","0.8358","1.0000","0.8367","0.8693","1.0000","0.9258","1.0000"
"BM2113","0.6334","1.0000","0.6992","0.9199","0.0441*","1.0000","1.0000","1.0000","1.0000","0.9571","1.0000","1.0000"
"BM2830","0.9729","1.0000","0.6706","1.0000","0.3391","0.9408","1.0000","1.0000","0.9118","0.9571","0.9258","1.0000"
"BM4107","0.9729","1.0000","0.6706","0.8947","1.0000","1.0000","1.0000","0.8691","1.0000","0.9571","0.8043","1.0000"
"BM4311","0.6334","0.7792","0.6706","1.0000","1.0000","1.0000","1.0000","1.0000","0.8693","0.9600","0.9258","1.0000"
"BM4440","0.9729","1.0000","0.6706","0.8554","0.6738","0.9408","1.0000","1.0000","1.0000","0.9571","0.9076","1.0000"
"BM47","0.9729","1.0000","0.6706","0.9199","0.0563",NA,NA,"1.0000","1.0000",NA,"1.0000",NA
"BM711","0.9729","1.0000","0.6992","1.0000","1.0000","0.8358","1.0000","1.0000",NA,"1.0000","0.6738",NA
"BM720","0.9729","0.7792","0.6992","0.8554","0.2303","0.8358","1.0000","0.8367","0.8693","0.9600","0.9290","1.0000"
"BM757","0.6334","1.0000","0.6992","0.9646","1.0000","0.8358","1.0000","1.0000","0.8693","0.9571","1.0000","1.0000"
"BMC4214","0.6334","1.0000","0.6992","1.0000","1.0000","1.0000","1.0000","1.0000","0.8693","0.9571","1.0000","0.8139"
"BMS1001","0.9729","0.7792","0.6706","0.9199","0.9315","1.0000","1.0000","0.8691","1.0000","0.6251","0.5202","0.8139"
"BMS1074","0.6334","1.0000","0.6706","0.8554","1.0000","1.0000","1.0000","1.0000","1.0000","0.9571","0.9258","0.8139"
"BMS1117","1.0000","1.0000","1.0000","0.9199","0.8648","0.9408","1.0000","0.9060","1.0000","1.0000","0.5202","1.0000"
"BMS1172","1.0000","1.0000","0.6706","1.0000","0.8656","1.0000","1.0000","0.8367","0.8693","0.9571","0.9730","0.8139"
"BMS1315","0.9729","1.0000","0.6706","0.9199","0.8656","1.0000","1.0000","1.0000","0.8693","1.0000","1.0000","0.8139"
"BMS1355","0.6334","1.0000","1.0000","1.0000","0.2303","1.0000","1.0000","0.8367","0.9802","0.9571","0.9258","1.0000"
"BMS1675","1.0000","1.0000","0.8190","0.9350","1.0000","0.8358","1.0000","0.8367","0.8693","1.0000","0.4421","1.0000"
"BMS1716","0.9729","0.7792","0.6706","0.8554","1.0000","0.4089","1.0000","1.0000","1.0000","0.9571","0.4421","1.0000"
"BMS1747","0.9729","1.0000","0.8190","1.0000","0.5629","0.9408","1.0000","1.0000","0.8693","1.0000","0.4421","1.0000"
"BMS1857","0.1421","1.0000","0.6706","0.9350","1.0000","1.0000","1.0000","0.8691","1.0000","0.9571","0.9076","1.0000"
"BMS1862","0.2409","1.0000","0.7511","1.0000","0.8656","0.9408","1.0000","1.0000","0.9081","0.9571","0.9258","1.0000"
"BMS2258","0.9729","1.0000","0.6992","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000","0.9600","1.0000","1.0000"
"BMS2639","0.9729","1.0000","0.6992","0.9350","0.8656","1.0000","1.0000","0.9060","0.8693","0.9571","0.9076","1.0000"
"BMS410","0.9729","1.0000","0.8190","0.8554","1.0000","0.7990","1.0000","1.0000","0.8693","0.9571","0.9258","1.0000"
"BMS510","0.9729","1.0000","0.8190","0.9199","1.0000","0.8358","1.0000","1.0000","0.8693","0.9571","1.0000","1.0000"
"BMS527","0.5439","0.7792","0.9015","1.0000","0.3830","1.0000","1.0000","0.8367","0.8693","0.9571","0.9076","1.0000"
"BMS528","1.0000","1.0000","0.6706","0.9350","1.0000","1.0000","1.0000","1.0000","1.0000","0.9571","0.4421","1.0000"
"BMS601","0.2409","1.0000","0.6706","0.8554","1.0000","1.0000","1.0000","1.0000","0.8693","0.9571","0.5831","1.0000"
"BMS812","0.9729","1.0000","0.6706","0.9199","1.0000","0.8358","1.0000","0.9060","0.8693","0.9571","0.9076","1.0000"
"BMS941","0.5439","1.0000","0.8190","0.9199","1.0000","0.8358","1.0000","0.8367","1.0000","1.0000","0.9076","1.0000"
"HUJ246","0.7583","1.0000","0.6992","1.0000","1.0000","1.0000","1.0000","1.0000","0.9656","0.9571","1.0000","1.0000"
"IL4","1.0000","1.0000","0.6706","0.9350","1.0000","1.0000","1.0000","0.8367","1.0000","0.9600","0.9076","0.8139"
"ILSTS102","1.0000",NA,"1.0000","0.9199","1.0000","1.0000",NA,"1.0000",NA,NA,"1.0000",NA
"INRA037","1.0000","1.0000","0.9770","0.9199","1.0000","0.8358","1.0000","0.8367","1.0000","1.0000","0.3724","1.0000"
"INRA133","0.9729","1.0000","0.6992","0.9199","0.6738","1.0000","1.0000","0.8691","0.8693","1.0000","0.9076","1.0000"
"INRA194","0.1846","1.0000","0.6992","0.9199","1.0000","0.9408","1.0000","0.8367","1.0000","0.9571","0.9076","1.0000"
"RM372","1.0000","1.0000","0.6706","0.9199","0.8601","1.0000","1.0000","1.0000","1.0000","0.9600","0.4421","1.0000"
"SPS115","0.9729","0.7792","0.6706","0.9350","1.0000","0.8358","1.0000","1.0000","0.8693","0.9571","0.9076","0.8139"
"TGLA122","1.0000","0.7792","0.8231","0.9199","1.0000","0.3243","1.0000","1.0000","0.9802","0.9600","0.9730","1.0000"
"TGLA44","0.6664","1.0000","0.6706","1.0000","1.0000","1.0000","1.0000","1.0000","0.8693","0.9571","0.4552","1.0000"
"TGLA53","0.1421","0.7792","0.8190","0.9199","1.0000",NA,"1.0000","1.0000","0.8693","0.9571","0.9258","1.0000"
"URB011","0.9729","1.0000","0.8268","0.9199","0.8601","0.8358","1.0000","0.9060","1.0000","0.9571","0.9258","1.0000"
