"","WBNPGR","WBNPHC","WBNPLB","WBNPNY","WBNPPAD","WENT","WBNPC1","WBNPC2","AISH","CL","EINPW","ETH","HZ","NAH","NORD","RL","WAB","EINPP"
"WBNPGR",NA,0.00937246316678924,0.0311180030782931,0.0254657399589681,0.00663070413352571,0.0451382427397012,0.0267882912581664,-0.00631495637651065,0.062738524799479,0.110638861800056,0.0581759178032963,0.0676782186275795,0.0670662833913102,0.0796720713076726,0.0978092999473769,0.106860341621056,0.188494884334903,0.14816897701943
"WBNPHC",-0.00153030265061712,NA,0.0163063551761831,0.0105013929648337,0.00640114692822308,0.0571052603619824,0.0125224668181351,0.00624628896498793,0.0673472362745134,0.107319780620089,0.0622260790772622,0.0776125363905769,0.0737745212029613,0.0756781634308857,0.0767374907365221,0.114066493455244,0.193126338665114,0.155049190360191
"WBNPLB",0.0125407876314623,0.00333812826762496,NA,0.00510051219341524,0.0311693883069341,0.0798639258790189,-0.00693438993673714,0.0284985414991252,0.0762564884242881,0.111265139001275,0.0748711854443057,0.09084768346551,0.0825862216198462,0.0974340084050208,0.0936209957971245,0.1334480279302,0.224571058786364,0.183741786909541
"WBNPNY",0.0105625406824329,-0.000308252245938234,-0.00303306337558639,NA,0.0268771826004396,0.0752154819734724,-0.00772812015684326,0.0250457360842269,0.0839005849385771,0.115530815098363,0.0822913240907518,0.0909510460520058,0.0857355417272016,0.0944108526664901,0.0954160601496774,0.119901281341861,0.211620725571684,0.174269225141964
"WBNPPAD",-0.00259423448703163,-0.00133631469315651,0.0127654644725134,0.00994277867680882,NA,0.0501058766684428,0.0291198605379713,-0.00733993828914178,0.0576962658223178,0.104817378681299,0.0502383220465314,0.0679820727049672,0.0674555243404142,0.0552738938521751,0.0774712654315563,0.10564049504814,0.162409675778328,0.128519921159621
"WENT",-0.000874696993456674,0.0133166246929566,0.0334930113996238,0.0235214491940296,0.0041736096217056,NA,0.0765457637255571,0.0316245375198693,0.0957102040741288,0.143148330533749,0.0924209082082651,0.107262143679288,0.10787962281359,0.123641153549352,0.109045372674826,0.154572910907207,0.271484143257947,0.181265769770528
"WBNPC1",0.012836844354599,0.00207142697475161,-0.00973467630132857,-0.00961608324473643,0.0129941401773389,0.0282002879755202,NA,0.0263275578684493,0.0766184202670597,0.107224884489716,0.0764453804298441,0.0870927490354249,0.0814153516097967,0.094246022279014,0.0913705227297828,0.122659674399049,0.213941693747861,0.178789715095986
"WBNPC2",-0.0102096213082873,-0.00103463806648119,0.0126935192848888,0.0105565867727654,-0.00914652260203663,-0.0065281804651913,0.0127344751040974,NA,0.0538947895021228,0.0957335456480239,0.0470796951845427,0.0621577612825645,0.0613277272730907,0.0622043392844382,0.0783482206988536,0.100078932143278,0.169338911348737,0.136453514880882
"AISH",0.0373120055631637,0.0366293180567978,0.041761793729464,0.0485042364591738,0.0352573622994448,0.0324710250698578,0.0458888772182565,0.0338997238103159,NA,0.0742861520122517,0.0197404192034196,0.0482747649040949,0.0428228648828474,0.0713854500802188,0.0595612767957227,0.153766397461041,0.261352594133256,0.233775557353849
"CL",0.0612873750769048,0.0642775231183255,0.0672853566058178,0.0627682444900549,0.0698624715775488,0.0714766520914162,0.0630907938516182,0.0625451294447362,0.0380517752893366,NA,0.0763524347698757,0.0996717108009016,0.0933393802119922,0.151072840525896,0.115314705669995,0.177825338698458,0.311670455254884,0.271080539188977
"EINPW",0.0224630028180558,0.0286486743294863,0.0300364662369502,0.0372972509458952,0.0249885077711355,0.02162896261357,0.0344737629284937,0.0233965851952179,0.00449814978497123,0.0398204810092288,NA,0.0384330593480371,0.0333170273368409,0.0672167688472867,0.0587433947732034,0.161447065528399,0.258306764566388,0.215331597681162
"ETH",0.0379184819504015,0.0443043788169391,0.0503371745233171,0.0495346705211382,0.0394401553731946,0.0460885393579748,0.0510415671182998,0.0370935589121384,0.0259830513475759,0.0576831511271951,0.0168570767367983,NA,0.060670064904696,0.0899204777387515,0.0883965999593728,0.17281437367323,0.249339240479804,0.227196430687099
"HZ",0.0408712615905162,0.0453361320375363,0.0436001478239839,0.0507829928790308,0.0409386725184986,0.0476787392864075,0.0480997870909881,0.0397766362653058,0.0181822501497785,0.0471234800491387,0.0106914122824423,0.0310317458012463,NA,0.101965360434063,0.0964167933016512,0.172302146415031,0.263283552112213,0.228566522259651
"NAH",0.0301506469097679,0.028755497625125,0.0388071328177206,0.0360303799817175,0.0192519040721088,0.0365537866228617,0.0372051081437834,0.0236764069634652,0.0377649978543042,0.0764698909296034,0.0233061364208976,0.0409206132719263,0.0489241407783106,NA,0.103298038134871,0.169626094220467,0.24186984810938,0.171343478673691
"NORD",0.0465470002751862,0.036052102524621,0.0453083892152187,0.0504336584810587,0.0413055491396302,0.05399143974946,0.0481123282664492,0.0419396977805444,0.0269504325487016,0.0641821874492598,0.0187187445204101,0.0441808252377408,0.0432897349402359,0.0453838207966758,NA,0.177704646605145,0.252034591442973,0.24758913525635
"RL",0.0629991634211546,0.0690078024998979,0.0830946394458241,0.0768902454919095,0.0605211350136756,0.0703786927592783,0.0786956832284131,0.0600094083921616,0.0938691778638377,0.111933260286504,0.0924315196647466,0.0961335098146978,0.101660102411643,0.0882376612990869,0.113237819581555,NA,0.247043365328149,0.198799556072026
"WAB",0.130559592480274,0.133257204228345,0.153749260647562,0.144274619486295,0.109103703156401,0.168115248948975,0.147708117950299,0.11696081101016,0.181460071440672,0.226653465672084,0.17970518810505,0.17169968292975,0.167060580562755,0.14256327925802,0.176969973711617,0.162788229146461,NA,0.179292961113064
"EINPP",0.0895698513525039,0.096394777321215,0.128629065185207,0.120518199955983,0.082966239345319,0.108734390694704,0.127640366772733,0.0871944056137687,0.161213972007774,0.181873728961119,0.138398287564632,0.150372574354032,0.154516837137669,0.110736004021521,0.164866013045169,0.130267089586222,0.118064661829834,NA
