"Herd","Observed_Diff","P_Value","adj_p_value"
"CL",-0.158190759485827,0.001,0.00138461538461538
"ETH",-0.087494903234214,0.001,0.00138461538461538
"HZ",-0.0997934723497951,0.001,0.00138461538461538
"NAH",-0.08315862882549,0.001,0.00138461538461538
"RL",-0.0856059781412601,0.001,0.00138461538461538
"WAB",-0.130648857995532,0.001,0.00138461538461538
"WBNPGR",-0.0174177163640776,0.04,0.048
"WBNPPAD",0.0132247521925464,0.686,0.726352941176471
"WBNPNY",-0.0393438667105412,0.001,0.00138461538461538
"WBNPLB",-0.0510383806506269,0.001,0.00138461538461538
"WBNPHC",-0.0182963930565234,0.027,0.0347142857142857
"EINPP",0.0119115967529286,0.789,0.789
"EINPW",-0.0831976104372876,0.001,0.00138461538461538
"NORD",-0.10386065232331,0.001,0.00138461538461538
"WENT",-0.122021252068657,0.001,0.00138461538461538
"AISH",-0.0964345411012542,0.001,0.00138461538461538
"WBNPC2",0.00797191714205359,0.63,0.70875
"WBNPC1",-0.0399198948078632,0.001,0.00138461538461538
