Locus,AISH,CL,EINPP,EINPW,ETH,HZ,NAH,NORD,RL,WAB,WBNPGR,WBNPHC,WBNPLB,WBNPNY,WBNPPAD,WENT
AGLA232,0.9812,1.0000,0.9705,0.7351,1.0000,1.0000,0.9014,1.0000,1.0000,1.0000,0.8058,0.1470,1.0000,0.9148,0.8493,1.0000
BL1036,0.8760,NA,0.6839,1.0000,0.9306,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8832,1.0000
BM1225,0.7941,1.0000,0.9705,1.0000,0.9306,1.0000,0.6892,1.0000,1.0000,1.0000,0.7448,0.9954,0.8960,0.5858,0.6799,1.0000
BM1706,0.8760,1.0000,0.6839,0.9276,0.9306,1.0000,0.8036,1.0000,1.0000,1.0000,0.8481,0.9954,0.8960,0.9409,0.5445,1.0000
BM17132,0.7780,0.9045,0.9769,1.0000,0.9306,1.0000,0.6128,1.0000,1.0000,1.0000,0.4875,0.9954,0.8960,0.6582,0.8517,1.0000
BM1824,0.8760,0.9714,0.5646,0.7351,0.9306,1.0000,1.0000,1.0000,1.0000,1.0000,0.7495,0.9954,0.9472,0.2564,0.6799,1.0000
BM1862,0.9812,1.0000,0.6839,1.0000,1.0000,1.0000,0.8036,1.0000,1.0000,1.0000,0.6942,1.0000,0.8510,0.7676,0.5327,1.0000
BM2113,0.7780,1.0000,0.5646,0.8592,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4875,1.0000,0.8960,0.3228,0.5327,1.0000
BM2830,0.7941,1.0000,0.7713,1.0000,0.9306,1.0000,0.6892,1.0000,1.0000,1.0000,0.9810,0.4655,0.8510,0.8178,0.8832,1.0000
BM4107,0.9627,1.0000,0.5646,0.7351,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6855,0.9954,1.0000,0.7038,0.8832,1.0000
BM4311,0.7780,0.9045,0.8036,1.0000,0.9306,1.0000,1.0000,1.0000,1.0000,1.0000,0.4875,0.9954,0.8960,1.0000,0.8832,1.0000
BM4440,0.7780,0.9714,0.9769,0.7351,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7448,1.0000,0.8960,0.8110,0.6799,1.0000
BM47,NA,NA,0.9769,NA,NA,NA,1.0000,NA,1.0000,NA,0.8058,1.0000,NA,1.0000,0.8769,NA
BM711,1.0000,1.0000,0.6839,1.0000,1.0000,1.0000,0.6128,1.0000,1.0000,1.0000,0.8058,0.9954,0.8960,0.8768,0.8832,1.0000
