"Herd","Observed_Diff","P_Value","adj_p_value"
"CL",-0.161670523937446,0.001,0.00163636363636364
"ETH",-0.090501481492256,0.001,0.00163636363636364
"HZ",-0.0994612520587379,0.001,0.00163636363636364
"NAH",-0.0850030110741316,0.003,0.0045
"RL",-0.0861610342883046,0.001,0.00163636363636364
"WAB",-0.130277663444593,0.001,0.00163636363636364
"WBNPGR",-0.016465981000011,0.051,0.0612
"WBNPPAD",0.0136731092141364,0.632,0.632
"WBNPNY",-0.0402901697995361,0.001,0.00163636363636364
"WBNPLB",-0.0514831278876523,0.001,0.00163636363636364
"WBNPHC",-0.017905814986191,0.043,0.0552857142857143
"EINPP",0.0145346930534055,0.598,0.632
"EINPW",-0.0844572071843013,0.001,0.00163636363636364
"NORD",-0.104603971018052,0.001,0.00163636363636364
"WENT",-0.123520615610493,0.004,0.00553846153846154
"AISH",-0.096499782711212,0.001,0.00163636363636364
"WBNPC2",0.00861154379131124,0.599,0.632
"WBNPC1",-0.0409704576178753,0.001,0.00163636363636364
