Contract Year,Population,Metadata file,Date collected,Subspecies,Sample Type,Sample ID,BMS1117,BMS1117_2,TGLA53,TGLA53_2,BMC4214,BMC4214_2
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_004,91,91,136,138,175,175
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_005,91,91,136,138,175,175
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_010,91,91,136,136,175,175
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_011,91,91,136,136,175,175
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_012,91,91,136,136,175,187
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_014,91,91,136,136,175,187
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_015,91,91,136,136,175,187
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_006,89,89,136,136,187,187
2025,Banff National Park,,2024,-,Fecal,25BNP019,89,89,136,136,187,187
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_013,89,91,136,136,175,175
2025,Banff National Park,,,-,Fecal,25BNP026,89,91,134,136,175,175
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP001,89,91,136,138,175,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP012,89,91,136,138,175,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP015,89,91,136,138,175,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP016,89,91,136,138,175,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP033,89,91,136,138,175,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP003,89,91,136,136,175,181
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP014,89,91,136,136,175,181
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP018,89,91,136,136,175,181
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP004,91,91,136,136,175,175
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP006,91,91,136,136,175,175
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP007,91,91,136,136,185,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP008,91,91,136,136,185,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP021,89,91,136,136,187,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP028,89,91,136,136,187,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP022,89,89,136,136,187,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP025,89,89,136,136,187,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP030,89,89,136,136,187,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP024,89,89,134,136,185,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP035,89,89,134,136,185,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP038,89,89,134,136,185,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP027,89,91,136,136,185,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP037,89,91,136,136,185,187
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_002,89,91,134,136,175,187
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_003,91,91,136,140,181,187
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_007,89,89,136,136,185,187
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_008,89,89,136,136,181,185
2024,Banff National Park,Bison_2023_2024_ContractSamples,2024,-,Fecal,24BNP_009,91,93,136,138,181,187
2025,Banff National Park,Bison_2025_Genotypes_ClientCopy_July2025,,-,Fecal,25BNP002,89,91,136,136,175,181
