POP             BMS1117     TGLA53      BMC4214     BM1225      BM47        BMS1315     IL4         BM2113      BMS1716     BM1706      BMS1675     BMS1857     BMS1001     BMS601      BM720       ILSTS102    BMS1074     BMS1172     BMS2258     BM757       SPS115      BMS527      BM2830      INRA194     BMS941      INRA037     BM4107      TGLA122     HUJ246      BMS528      BM4440      TGLA44      BMS510      BMS1355     BM1824      BMS812      BMS2639     BMS410      AGLA232     BM17132     BM711       INRA133     RM372       BM4311      BMS1747     BL1036      BM1862      BMS1862     URB011  
EINPP_1408      0.3314      0.1003      0.3991      0.5108      0.1565      0.6663      0.6157      0.8050      0.8761      0.2204      0.6954      0.0027      0.3864      0.0019      0.4573      0.7455      0.1446      0.8672      0.1585      0.3722      0.7325      0.1373      0.2581      0.0018      0.5348      0.7043      0.4663      0.6632      0.6209      0.2610      0.7304      0.4932      0.6662      0.0068      0.6864      0.3027      0.1042      0.1937      0.7401      0.4607      0.8192      0.4724      0.6832      0.5223      0.1255      0.2627      0.0602      0.0138      0.2422  
EINPW_2229      0.7485      0.0369      0.3465      0.2259      0.0409      0.1376      0.2361      0.9644      0.1287      0.2950      0.5223      0.3716      0.0268      0.6915      0.0565      0.0000      0.1728      0.8926      0.7466      0.4024      0.1284      0.1329      0.2074      0.1509      0.6032      0.7416      0.6338      0.0529      0.6812      0.4767      0.3973      0.2865      0.0920      0.4688      0.0961      0.5702      0.3091      0.8911      0.2358      0.5525      0.1278      0.6326      0.7796      0.0788      0.5483      0.4841      0.8828      0.6365      0.5629  
MBS_2302        0.0534      0.6992      0.1847      0.6591      0.3395      0.0820      0.3059      0.2898      0.1464      0.2684      0.5580      0.8070      0.1120      0.2218      0.5100      0.1073      0.1379      0.6194      0.1567      0.7925      0.2444      0.9091      0.2020      0.2327      0.8488      0.0990      0.0300      0.4750      0.9763      0.2385      0.0586      0.4462      0.3010      0.7329      0.2057      0.2574      0.9400      0.2064      0.3578      0.7291      0.0555      0.7299      0.3249      0.4183      0.8886      0.9907      0.2833      0.0976      0.5281  
WBNPGR_2355     0.2592      0.7149      0.7388      0.6429      0.0000      0.2130      0.4203      0.6565      0.3171      0.1736      0.1320      0.3608      0.0712      0.0738      0.3693      0.0000      0.7977      0.6500      0.0486      0.9686      0.1156      0.7400      0.5700      0.0495      0.0306      0.6539      0.2373      0.7056      0.2159      0.2476      0.3644      0.1770      0.0424      0.3341      0.1218      0.1267      0.3068      0.5099      0.2693      0.4100      0.1559      0.8870      0.3358      0.3161      0.7363      0.3511      0.7408      0.3823      0.6207  
WBNPHC_2369     0.9360      0.2710      0.6698      0.4420      0.1271      0.2873      0.0316      0.4592      0.6304      0.2885      0.4132      0.0729      0.3824      0.6159      0.2268      0.1324      0.1492      0.5622      0.3464      0.1907      0.3459      0.0220      0.0996      0.1862      0.0048      0.1489      0.1322      0.8420      0.8607      0.7218      0.9680      0.5297      0.5353      0.0209      0.3889      0.4809      0.8659      0.3609      0.6053      0.3562      0.4186      0.0325      0.4983      0.5533      0.3821      0.4460      0.0630      0.1220      0.4640  
WBNPLB_2459     0.7394      0.1409      0.5954      0.2352      0.0506      0.0934      0.6049      0.4025      0.5121      0.2836      0.1411      0.5952      0.7518      0.0130      0.1715      0.0000      0.3625      0.7537      0.6981      0.0465      0.4070      0.1834      0.1771      0.2030      0.3195      0.5260      0.8560      0.3346      0.5966      0.5999      0.1562      0.1234      0.8633      0.3512      0.2302      0.1530      0.2945      0.0220      0.2535      0.4257      0.0000      0.0158      0.7424      0.6519      0.8596      0.0110      0.8737      0.2269      0.3427  
WBNPNY_2398     0.6506      0.8852      0.9424      0.7196      0.0000      0.3417      0.1578      0.5506      0.1115      0.3216      0.2322      0.6758      0.9975      0.2224      0.5241      0.0000      0.6228      0.5469      0.2220      0.2142      0.2017      0.1607      0.5133      0.2858      0.7459      0.4643      0.3000      0.3543      0.1880      0.0910      0.5179      0.5382      0.7730      0.6711      0.8325      0.4730      0.4407      0.0218      0.4826      0.0629      0.3888      0.0609      0.7084      0.3229      0.1813      0.3844      0.7354      0.3536      0.3239  
WBNPPAD_2434    0.9315      0.1927      0.4304      0.7866      0.0597      0.8723      0.3557      0.4657      0.2944      0.0646      0.0274      0.9193      0.4673      0.1932      0.2796      0.0653      0.5741      0.4818      0.4757      0.5046      0.2858      0.1932      0.9051      0.3038      0.1317      0.0740      0.5432      0.9004      0.4623      0.7638      0.8482      0.2608      0.4312      0.8840      0.5738      0.8567      0.1731      0.0980      0.4721      0.4694      0.2997      0.2121      0.5627      0.2688      0.1246      0.9248      0.6725      0.5054      0.0675  


