gtypes created on 2026-03-09 13:25:35
LOC1, LOC2, LOC3, LOC4, LOC5, LOC6, LOC7, LOC8, LOC9, LOC10, LOC11, LOC12, LOC13, LOC14, LOC15, LOC16, LOC17, LOC18, LOC19, LOC20, LOC21, LOC22, LOC23, LOC24, LOC25, LOC26, LOC27, LOC28, LOC29, LOC30, LOC31, LOC32, LOC33, LOC34, LOC35, LOC36, LOC37, LOC38, LOC39, LOC40, LOC41, LOC42, LOC43, LOC44, LOC45, LOC46, LOC47, LOC48, LOC49
POP
Default 2229 , 0606 0202 0303 0101 0402 0101 0202 0101 0401 0201 0404 0301 0101 0303 0305 0202 0301 0302 0302 0102 0303 0201 0303 0202 0202 0102 0105 0404 0404 0303 0202 0202 0404 0404 0202 0301 0201 0303 0504 0101 0304 0202 0301 0404 0101 0101 0404 0303 0201
Default 2230 , 0203 0203 0403 0202 0404 0101 0205 0101 0303 0402 0501 0303 0101 0303 0103 0303 0303 0202 0303 0202 0303 0203 0303 0102 0404 0102 0505 0505 0404 0501 0202 0401 0104 0402 0204 0404 0303 0203 0202 0101 0202 0204 0306 0401 0404 0201 0302 0204 0304
Default 2235 , 0203 0202 0303 0203 0403 0102 0301 0101 0101 0401 0103 0203 0101 0303 0302 0201 0102 0103 0301 0101 0301 0201 0103 0103 0201 0303 0205 0403 0406 0102 0202 0101 0104 0403 0203 0401 0201 0203 0602 0101 0402 0403 0305 0405 0403 0303 0303 0203 0402
Default 2236 , 0206 0202 0404 0101 0402 0101 0202 0101 0401 0201 0201 0301 0101 0303 0303 0303 0101 0103 0202 0101 0303 0202 0303 0102 0201 0102 0304 0505 0406 0303 0102 0401 0104 0403 0206 0304 0301 0203 0207 0101 0401 0202 0303 0603 0401 0203 0301 0301 0401
Default 2237 , 0202 0201 0303 0202 0404 0405 0204 0101 0302 0404 0101 0303 0101 0303 0302 0202 0302 0202 0303 0103 0303 0202 0303 0103 0201 0202 0205 0201 0403 0101 0202 0201 0303 0401 0202 0401 0303 0303 0707 0101 0402 0202 0301 0403 0404 0202 0305 0101 0201
Default 2238 , 0202 0203 0303 0203 0403 0102 0203 0101 0303 0402 0101 0203 0101 0303 0302 0203 0303 0303 0304 0101 0303 0202 0303 0103 0201 0203 0303 0401 0406 0302 0203 0201 0203 0404 0102 0404 0301 0303 0207 0101 0404 0204 0106 0503 0404 0202 0303 0301 0101
Default 2239 , 0603 0202 0303 0201 0404 0404 0202 0103 0304 0401 0101 0303 0102 0303 0303 0301 0303 0303 0303 0102 0301 0202 0302 0101 0202 0103 0205 0401 0106 0502 0203 0204 0102 0403 0202 0404 0201 0303 0207 0101 0404 0204 0303 0404 0404 0203 0303 0202 0304
Default 2240 , 0202 0202 0305 0202 0403 0204 0202 0105 0301 0203 0505 0203 0101 0303 0105 0303 0301 0102 0202 0102 0301 0203 0303 0101 0202 0103 0203 0204 0402 0301 0102 0101 0101 0404 0202 0304 0303 0301 0205 0101 0404 0403 0301 0405 0404 0203 0304 0203 0303
Default 2241 , 0503 0303 0303 0303 0404 0101 0301 0102 0101 0201 0203 0303 0101 0303 0204 0301 0303 0303 0401 0102 0301 0204 0303 0101 0404 0303 0205 0503 0401 0301 0203 0401 0202 0404 0102 0401 0203 0303 0201 0101 0402 0203 0303 0404 0403 0201 0303 0203 0404
Default 2242 , 0506 0203 0103 0201 0403 0101 0201 0101 0303 0201 0501 0202 0101 0303 0103 0301 0102 0103 0304 0101 0303 0301 0303 0102 0201 0102 0105 0203 0401 0303 0202 0401 0102 0402 0203 0401 0101 0303 0606 0101 0402 0204 0301 0401 0404 0203 0303 0201 0304
